locality_symbol,שם יישוב,year,target_election,valid_votes,Other_raw_pct,Right_pct,Center_Left_pct,Haredi_pct,Arab_pct,אחוז עולי 1990+ מסך האוכלוסייה,ערבים (אחוזים מתוך כלל אוכלוסיית הישראלים),gini_wage_2019,עובדי הוראה ממוצע שעות עבודה שבועיות לתלמיד,"אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים כללית",avg_monthly_wage,גיל ממוצע של מקבלי דמי אבטלה (לא כולל חיילים),השכלה גבוהה אחוז סטודנטים מתוך אוכלוסיית בני 25-20,gender_wage_ratio,"צפיפות אוכלוסייה לקמ''ר ביישובים שמנו 5,000 תושבים ויותר","ריבוי טבעי ל-1,000 תושבים",אחוז באוכלוסייה בסוף השנה בני 4-0,אחוז באוכלוסייה בסוף השנה בני 44-30,"נישאים שיעור ל-1,000 תושבים לא נשואים בני 15 ומעלה",השכלה גבוהה אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 55-35,"מספר ילדים שבגינם שולמו קצבאות במשפחות עם 5 ילדים ויותר ל-1,000 תושבים",אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זקנה ושאירים,אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,עובדי הוראה אחוז בעלי דרגת שכר תואר שני ומעלה,אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,"יחס תלות (ל-1,000 תושבים בלתי תלויים)",עובדי הוראה ממוצע שעות עבודה לשבוע,אחוז באוכלוסייה בסוף השנה בני 59-45,מקבלי דמי אבטלה (ממוצע חודשי) גברים,יהודים (אחוזים מתוך יהודים ואחרים),מוסלמים (אחוזים מתוך האוכלוסייה הערבית),יהודים ואחרים (אחוזים מתוך כלל אוכלוסיית הישראלים),נכנסים מיישובים אחרים גיל 64-30,type_Arab/Non-Jewish,type_Cities,type_Kibbutzim,type_Moshavim,type_other,type_Druze_Majority
1015,מבשרת ציון,2019,Knesset_21,13846,0.3972266358515094,48.19810021028207,47.71227612210862,3.9010949169748383,0.1885287506344717,7.1,0.5,0.47,2.78,44.9,12147.89,42.0,14.16,1.395904003839689,4137.3,10.05,7.8,18.8,23.9,42.52,29.34191373630583,4.08,70.1,45.54,80.73,901.1,30.1,16.71,84.0,97.1,93.0,99.5,504,0,1,0,0,0,0
1015,מבשרת ציון,2019,Knesset_22,13539,0.4062338429721545,42.73954316226639,50.92702462177395,6.088697715811333,0.2447345001483239,7.1,0.5,0.47,2.78,44.9,12147.89,42.0,14.16,1.395904003839689,4137.3,10.05,7.8,18.8,23.9,42.52,29.34191373630583,4.08,70.1,45.54,80.73,901.1,30.1,16.71,84.0,97.1,93.0,99.5,504,0,1,0,0,0,0
1015,מבשרת ציון,2020,Knesset_23,13559,0.1032524522457408,45.33038021410115,47.818383167220375,6.253229974160207,0.5980066445182725,7.3,0.5,0.47,2.79,45.1,13294.045858850975,38.12,17.47,1.5204294944887875,3850.5,10.72,7.87,17.88,27.7,43.9,35.38582092630016,3.96,71.34,25.68,83.8,868.0,30.5,16.76,694.0,96.7,93.0,99.7,435,0,1,0,0,0,0
1015,מבשרת ציון,2021,Knesset_24,13331,1.162703473107794,48.33788706739527,46.05343047965999,5.380995749848209,0.2276867030965391,7.39,0.5,0.47,2.92,45.1,14557.82,39.0,17.0,1.489081883531575,3953.0,11.71,8.26,18.02,18.9,44.97,39.20939742613158,3.97,72.59,49.29,83.13,893.0,31.1,16.47,433.0,96.7,93.0,99.6,694,0,1,0,0,0,0
1015,מבשרת ציון,2022,Knesset_25,14051,1.0390719521742224,45.16361021215391,48.212873067242,6.220783890686803,0.4027328299172959,7.6,,0.47,2.88,44.8,15201.84,38.82,15.6,1.5335692391249285,4039.2,9.91,8.1,18.22,29.0,45.74,40.21692814863235,4.37,77.03,49.04,83.75,904.0,31.25,16.27,72.67,96.6,,99.6,539,0,1,0,0,0,0
1020,אור עקיבא,2019,Knesset_21,9701,0.525718998041439,65.18134715025907,25.23316062176166,9.544041450777202,0.0414507772020725,27.7,0.6,0.36,3.68,65.7,8315.83,42.0,9.34,1.4192256688566272,4364.0,8.48,9.0,21.61,29.0,14.65,21.939428996405404,32.05,69.03,43.16,82.74,837.9,30.5,15.92,130.0,91.2,97.8,99.4,860,0,1,0,0,0,0
1020,אור עקיבא,2019,Knesset_22,9793,0.3165526396405596,58.10284777709486,29.635320631018235,12.149149764392543,0.1126818274943659,27.7,0.6,0.36,3.68,65.7,8315.83,42.0,9.34,1.4192256688566272,4364.0,8.48,9.0,21.61,29.0,14.65,21.939428996405404,32.05,69.03,43.16,82.74,837.9,30.5,15.92,130.0,91.2,97.8,99.4,860,0,1,0,0,0,0
1020,אור עקיבא,2020,Knesset_23,10237,0.1562957897821627,60.49310243616085,27.07171509637022,12.317777125525875,0.1174053419430584,28.6,0.6,0.36,3.62,64.7,8307.861547191224,40.26,9.52,1.4703791469194314,3506.6,10.93,9.14,20.69,27.4,15.7,28.179153596955828,30.95,68.49,43.45,86.55,819.0,31.2,15.8,620.0,91.7,97.8,99.5,283,0,1,0,0,0,0
1020,אור עקיבא,2021,Knesset_24,9621,1.6734227211308597,64.94714587737843,24.101479915433405,10.930232558139537,0.0211416490486257,28.08,0.6,0.36,3.35,64.0,9831.06,41.0,9.4,1.4546366113844065,3588.6,9.3,8.87,20.83,20.8,16.98,29.494523163501157,28.97,72.8,43.14,83.91,824.0,31.7,15.67,420.0,91.5,97.8,99.5,398,0,1,0,0,0,0
1020,אור עקיבא,2022,Knesset_25,10879,1.2133468149646107,60.86349678980181,27.26342235042337,11.714897180608542,0.1581836791662789,27.9,,0.36,3.44,62.1,10435.64,41.35,9.0,1.4520502023629451,3763.8,9.32,8.7,20.96,33.3,18.42,30.659901687109,29.44,74.23,41.91,88.14,828.0,32.52,15.71,95.75,91.2,,99.5,549,0,1,0,0,0,0
