שם יישוב,סמל היישוב,"צפיפות אוכלוסייה לקמ''ר ביישובים שמנו 5,000 תושבים ויותר","סה""כ  אוכלוסייה בסוף השנה",יהודים ואחרים (אחוזים מתוך כלל אוכלוסיית הישראלים),"יהודים 
(אחוזים מתוך יהודים ואחרים)",ערבים (אחוזים),מוסלמים (אחוזים מתוך האוכלוסייה הערבית),נוצרים (אחוזים מתוך האוכלוסייה הערבית),דרוזים (אחוזים מתוך האוכלוסייה הערבית),"סה""כ גברים בסוף השנה","סה""כ נשים בסוף השנה",אחוז באוכלוסייה בסוף השנה בני 4-0,אחוז באוכלוסייה בסוף השנה בני 9-5,אחוז באוכלוסייה בסוף השנה בני 14-10,אחוז באוכלוסייה בסוף השנה בני 19-15,אחוז באוכלוסייה בסוף השנה בני 29-20,אחוז באוכלוסייה בסוף השנה בני 44-30,אחוז באוכלוסייה בסוף השנה בני 59-45,אחוז באוכלוסייה בסוף השנה בני 64-60,אחוז באוכלוסייה בסוף השנה בני 65 ומעלה,אחוז באוכלוסייה בסוף השנה בני 17-0,אחוז באוכלוסייה בסוף השנה בני 75 ומעלה,"יחס תלות (ל-1,000 תושבים בלתי תלויים)",לידות חי,שיעור פריון כולל,פטירות תינוקות (ממוצע),"שיעור פטירות תינוקות ל-1,000 לידות חי",פטירות,"שיעור פטירות מתוקנן ל-1,000 תושבים","ריבוי טבעי
סה""כ","ריבוי טבעי  ל-1,000 תושבים",אחוז גידול האוכלוסייה לעומת השנה הקודמת,אחוז עולי 1990+ מסך האוכלוסייה,השתקעות ראשונה של עולים,אחוז עולים בהשתקעות ראשונה בני 17-0,אחוז עולים בהשתקעות ראשונה בני 44-18,אחוז עולים בהשתקעות ראשונה בני 64-45,אחוז עולים בהשתקעות ראשונה בני 65 ומעלה,"מאזן הגירה ביישוב
סה""כ",מאזן הגירה פנימית,"נכנסים מיישובים אחרים סה""כ",נכנסים מיישובים אחרים גברים,נכנסים מיישובים אחרים נשים,נכנסים מיישובים אחרים עד גיל 14,נכנסים מיישובים אחרים גיל 29-15,נכנסים מיישובים אחרים גיל 64-30,נכנסים מיישובים אחרים גיל 65 ומעלה,"יוצאים ליישובים אחרים סה""כ",יוצאים ליישובים אחרים גברים,יוצאים ליישובים אחרים נשים,יוצאים ליישובים אחרים עד גיל 14,יוצאים ליישובים אחרים גיל 29-15,יוצאים ליישובים אחרים גיל 64-30,יוצאים ליישובים אחרים גיל 65 ומעלה,הגירה בתוך הרשות המקומית,"נישאים סה""כ גברים ונשים","נישאים שיעור ל-1,000 תושבים לא נשואים בני 15 ומעלה","מתגרשים סה""כ גברים ונשים","מתגרשים שיעור ל-1,000 תושבים נשואים בני 15 ומעלה",אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) סך מוסדות דיור משותף ברשות,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) סך דיירי דיור משותף ברשות,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים בבתי אבות ובדיור מוגן,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות חינוך,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות דת,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות אשפוז כולל הוסטלים,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות אחרים
אבו גוש,472,"4,114.40","7,771",-,-,98.90,99.80,-,-,"3,891","3,880",10.18,9.54,9.39,8.89,16.97,20.11,14.76,4.03,6.11,34.42,2.05,790,168,..,0.60,  ..,24,6.12,144,18.62,0.94,0.30,0,0,0,0,0,20,18,100,50,50,38,29,32,1,82,36,46,25,22,33,2,86,98,44.60,26,8.10,4,31,-,0.30,0.04,0.06,-
אבו סנאן,473,"2,136.90","14,306",-,-,99.80,54.60,15.20,30.20,"7,307","7,000",8.98,8.01,8.53,9.60,18.01,20.42,15.73,3.65,7.06,30.95,2.57,730,236,2.09,1.80,( 7.4),49,5.14,187,13.17,1.47,0,0,0,0,0,0,24,17,145,46,99,21,68,54,2,128,35,93,26,57,45,-,8,179,42.20,29,4.70,-,-,-,-,-,-,-
אבן יהודה,182,"1,696.20","14,020",100,98.40,-,-,-,-,"6,885","7,135",6.56,9.20,10.70,8.29,10.17,16.93,19.55,4.16,14.44,31.88,5.53,968,138,1.97,0.40,  ..,73,4.26,65,4.67,1.40,5.80,48,10.42,85.42,2.08,2.08,142,81,531,253,278,203,54,240,34,450,221,229,104,128,192,26,306,85,20,40,7,5,347,1.35,0.30,-,0.83,-
אום אל-פחם,"2,710","2,187.40","56,777",-,-,99.90,100,-,-,"28,947","27,829",9.80,9.70,10.37,10.97,18.67,17.91,15.17,2.75,4.66,36.16,1.61,835,"1,080",2.54,3.20,( 2.8),186,6.12,894,15.84,1.19,0,0,0,0,0,0,-285,-301,171,47,124,36,99,36,-,472,193,279,123,211,133,5,705,822,53.70,104,4.50,..,..,..,..,..,..,..
אופקים,31,"1,990.80","32,555",99.30,93.40,-,-,-,-,"16,107","16,448",13.97,10.87,8.14,7.06,16.04,18.55,12.69,3.94,8.73,36.94,3.36,952,942,3.97,3.40,( 4.0),180,6.18,762,24.11,6.17,17.50,41,21.95,48.78,21.95,7.32,950,903,"1,735",921,814,611,510,572,42,832,432,400,235,290,271,36,"1,943",411,44.50,119,10.70,6,559,0.87,0.58,0.17,-,0.09
אור יהודה,"2,400","5,518","36,770",99.80,97.70,-,-,-,-,"18,227","18,543",8.72,8.13,7.14,7.13,13.82,20.15,16.15,5.30,13.46,28.26,4.98,804,631,2.51,1.20,( 1.8),254,5.03,377,10.25,-0.12,14,17,17.65,64.71,17.65,0,-626,-647,559,277,282,142,152,227,38,"1,206",617,589,341,336,456,73,"1,012",372,29.70,131,8.50,8,488,0.46,-,0.46,0.41,-
אור עקיבא,"1,020","3,506.60","19,447",99.50,91.70,-,-,-,-,"9,573","9,874",9.14,8.46,6.95,6.16,12.60,20.69,15.80,5.90,14.31,28.04,5.49,819,353,2.66,1,( 2.7),143,5.97,210,10.93,2.51,28.60,92,31.52,29.35,21.74,17.39,197,136,659,316,343,156,145,283,75,523,260,263,155,125,209,34,903,176,27.40,79,10.30,5,328,-,-,0.75,0.50,0.43
אורנית,"3,760",..,"8,965",99.80,98.50,-,-,-,-,"4,543","4,422",7.35,10.16,11.37,8.14,12.15,17.82,19.61,4.28,9.11,34.28,2.18,857,113,..,-,   -,15,3.56,98,10.94,0.11,5,8,50,25,25,0,-41,-52,330,174,156,120,62,136,12,382,195,187,101,101,162,18,187,63,25.70,39,10.30,-,-,-,-,-,-,-
אזור,565,"6,010.40","13,332",99.70,93.60,-,-,-,-,"6,607","6,725",9.08,8.64,6.82,5.33,12.60,22.10,15.57,5.09,14.77,27.81,5.30,806,231,2.51,-,   -,70,4.63,161,12.25,2.90,10.90,10,40,30,10,20,130,101,695,359,336,185,214,281,15,594,312,282,158,143,265,28,525,132,30,72,13.40,..,..,..,..,..,..,..
אילת,"2,600",532.70,"52,519",95.50,83.40,4.50,77.30,12.40,10.10,"27,232","25,287",7.17,7.33,6.61,6.61,15.65,21.76,18.92,5.02,10.92,24.97,3.55,630,816,2.19,2.40,( 2.8),249,5.09,567,10.82,0.42,22.80,380,17.37,60,13.68,8.95,-321,-721,"2,176","1,188",988,310,"1,054",754,58,"2,897","1,593","1,304",566,"1,020","1,183",128,"4,735",474,20.70,287,16,5,337,0.19,0.26,0.13,0.06,-
אכסאל,478,"1,640","14,939",-,-,99.90,100,-,-,"7,721","7,218",10.22,9.29,9.99,10.56,18.83,18.71,14.68,2.86,4.86,35.79,1.49,815,263,2.31,0.40,  ..,41,5.92,222,14.94,1.05,0,0,0,0,0,0,21,16,92,32,60,23,41,28,-,76,23,53,14,41,21,-,21,163,40.50,28,4.50,..,..,..,..,..,..,..
אליכין,41,..,"3,484",100,98.80,-,-,-,-,"1,737","1,747",7.92,7.66,8.67,7.52,14.61,16.42,19.58,5.28,12.37,29.19,5.14,790,58,..,-,   -,17,4.76,41,11.88,2.02,3,3,100,0,0,0,10,7,145,66,79,57,21,61,6,138,65,73,55,32,49,2,94,27,22.70,17,12.20,-,-,-,-,-,-,-
אלעד,"1,309","14,097.80","49,167",100,100,-,-,-,-,"24,848","24,319",14.29,15.73,16.18,14.26,11.99,17.15,7.64,0.96,1.80,55.06,0.52,"1,649","1,355",4.92,3,( 2.1),27,3.40,"1,328",27.12,0.83,2.50,12,25,50,8.33,16.67,-910,-922,757,428,329,269,310,147,31,"1,679",918,761,712,571,372,24,"1,441",575,61.40,106,6.90,11,"2,254",-,0.07,4.51,-,-
אלפי מנשה,"3,750",..,"7,997",100,96.40,-,-,-,-,"4,012","3,985",6.82,8.92,11.20,8.68,11.49,18.22,19.86,4.65,10.15,32.35,1.91,844,91,..,0.20,  ..,24,5.09,67,8.40,0.57,7.90,4,50,0,50,0,-2,-11,298,154,144,89,49,138,22,309,168,141,65,85,134,25,151,49,20.80,31,9.30,-,-,-,-,-,-,-
אלקנה,"3,560",..,"3,911",100,99.80,-,-,-,-,"1,939","1,973",11.56,10.71,9.59,7.01,14.73,17.21,11.28,3.94,14.04,36.74,4.47,"1,123",88,..,0.60,  ..,10,2.72,78,20.13,1.93,3,..,..,..,..,..,41,41,235,136,99,95,64,67,9,194,97,97,81,59,47,7,121,48,61.40,6,3.30,..,..,..,..,..,..,..
אעבלין,529,"1,125.50","13,547",-,-,99.90,57.90,42.10,-,"6,815","6,732",8.39,9.15,9.24,9.77,17.58,19.24,16.56,3.62,6.45,32.63,2.15,754,192,1.88,1.20,( 5.5),56,5.76,136,10.13,1.81,0,0,0,0,0,0,84,75,174,70,104,85,39,47,3,99,28,71,25,48,25,1,4,135,33.80,24,4.30,3,101,-,-,-,-,0.75
אפרת,"3,650",..,"11,405",100,99.70,-,-,-,-,"5,849","5,555",12.13,13.13,11.73,8.93,13.80,18.89,10.84,3.68,6.86,43.26,1.89,"1,118",264,..,0.20,  ..,28,4.36,236,21.25,5.54,21,64,45.31,35.94,6.25,12.50,357,299,672,333,339,311,122,222,17,373,203,170,112,138,113,10,575,109,44.50,37,8.80,4,404,-,2.57,0.97,-,-
אריאל,"3,570",..,"19,582",97.10,80.50,-,-,-,-,"9,802","9,780",7.62,7.70,6.60,5.73,19.15,18.47,16.12,5.61,12.99,24.87,4.81,685,286,2.07,1,( 3.2),103,4.73,183,9.12,-4.67,33.80,85,9.41,67.06,16.47,7.06,-244,-319,439,233,206,99,173,152,15,758,398,360,181,299,250,28,604,145,18,75,9.20,3,"1,807",0.60,8.37,0.26,-,-
אשדוד,70,"4,794.80","226,154",99.90,89.60,-,-,-,-,"110,468","115,685",9.22,9.03,8.06,7.49,13.34,16.92,15.97,4.84,15.13,30.85,6.39,958,"4,268",3.12,10.40, 2.3,"1,514",4.86,"2,754",12.18,0.10,28.20,742,23.72,34.91,27.63,13.75,"-2,444","-3,034","3,119","1,640","1,479",793,929,"1,146",251,"6,152","3,183","2,969","1,748","1,953","2,101",350,"11,747","2,430",33.70,851,9.10,42,"3,233",0.35,0.07,0.60,0.37,0.03
אשקלון,"7,100","3,230.10","146,519",99.80,86.40,-,-,-,-,"71,353","75,165",9.03,8.39,7.07,6.10,12.81,19.61,15.73,5.45,15.80,28.13,6.38,866,"2,492",2.56,5.40, 2.1,"1,000",4.95,"1,492",10.27,1.70,28.80,336,17.26,38.39,25.60,18.75,763,440,"3,844","1,932","1,912",952,"1,041","1,599",252,"3,404","1,695","1,709",962,883,"1,388",171,"8,079","1,258",25.70,682,11.60,21,"1,503",0.48,0.09,0.04,0.28,0.14
באקה אל-גרביה,"6,000","3,412","30,457",-,-,99.90,100,-,-,"15,408","15,049",9.46,9.82,10.03,10.82,17.55,19.02,14.66,3.11,5.53,35.84,1.92,840,585,2.53,2.40,( 4.2),129,6.74,456,15.10,1.69,0,0,0,0,0,0,35,23,235,91,144,95,89,51,-,212,80,132,50,92,70,-,74,427,49.60,58,4.80,..,..,..,..,..,..,..
באר יעקב,"2,530","3,066.20","29,015",99.70,96.40,-,-,-,-,"14,794","14,221",13.24,13.02,8.41,6.65,9.71,25.76,11.95,3.12,8.15,38.54,2.48,979,583,2.78,-,   -,69,3.52,514,18.10,4.49,10.70,21,23.81,66.67,4.76,4.76,531,506,"1,590",746,844,546,242,723,79,"1,084",558,526,396,190,467,31,679,194,31,110,9.60,9,"1,291",-,0.88,2.08,1.49,-
באר שבע,"9,000","1,793.80","210,595",97.20,88.70,-,-,-,-,"102,817","107,778",8.22,7.87,6.84,6.24,14.24,19.30,15.70,5.61,15.98,26.70,6.53,823,"3,205",2.25,10.80, 3.1,"1,593",5.44,"1,612",7.66,0.25,25.40,459,24.62,47.49,20.04,7.84,-642,"-1,209","4,499","2,349","2,150",907,"1,788","1,571",233,"5,708","2,910","2,798","1,597","1,599","2,266",246,"11,959","1,791",22.80,852,10.30,53,"6,258",0.59,0.60,0.05,0.60,1.14
בועיינה-נוג'ידאת,482,"1,396.20","9,996",-,-,99.90,99.90,-,-,"5,187","4,810",10.08,10.19,9.72,10.44,18.92,20.39,13.67,2.35,4.24,36.18,1.43,808,195,2.43,0.60,  ..,25,5.43,170,17.16,1.88,0,0,0,0,0,0,27,27,74,26,48,28,26,20,-,47,16,31,4,27,16,-,6,138,50.20,20,5,-,-,-,-,-,-,-
בוקעאתא,"4,001",341.10,"6,665",-,-,100,-,-,100,"3,410","3,255",7.37,8.33,9.44,9.15,16.82,20.83,17.40,3.84,6.83,30.71,2.28,698,93,..,0.20,  ..,29,5.85,64,9.64,0.84,0,0,0,0,0,0,3,-1,18,5,13,3,7,8,-,19,4,15,-,11,7,1,-,65,35.10,8,2.70,..,..,..,..,..,..,..
ביר אל-מכסור,998,"1,666.40","9,730",-,-,100,100,-,-,"4,940","4,790",10.42,10.29,9.78,9.71,18.23,19.08,14.38,2.81,5.31,36.08,2.14,836,206,..,-,   -,18,4.05,188,19.53,2.18,0,0,0,0,0,0,15,15,57,19,38,12,30,15,-,42,13,29,12,16,14,-,1,166,63.50,18,4.70,-,-,-,-,-,-,-
בית אל,"3,574",..,"5,684",100,99.80,-,-,-,-,"2,922","2,762",12.30,9.96,10.89,16.68,21.22,10.98,9.78,2.55,5.65,42.26,1.72,"1,246",189,..,-,   -,12,3.64,177,30.37,-4.84,6.90,14,50,35.71,7.14,7.14,-230,-238,192,99,93,53,113,20,6,430,224,206,184,143,95,8,201,143,73,7,3.50,4,913,-,10.17,5.38,-,0.51
בית אריה-עופרים,"3,652",..,"5,351",100,96,-,-,-,-,"2,701","2,650",8.20,10.09,10.56,8.48,13.60,18.30,19.02,4.35,7.36,34.11,1.53,808,66,..,0.20,  ..,10,3.80,56,10.56,1.85,6.40,..,..,..,..,..,34,37,221,113,108,79,47,93,2,184,89,95,47,47,76,14,169,42,27.60,22,10.20,-,-,-,-,-,-,-
בית ג'ן,480,"1,687.80","12,151",-,-,100,0.10,-,99.90,"6,127","6,024",7.87,7.70,8.21,8.36,18.37,22.08,16.14,3.94,7.34,28.81,3.12,652,215,2.11,0.40,  ..,37,4.50,178,14.74,1.25,0,0,0,0,0,0,-15,-11,46,7,39,5,32,8,1,57,15,42,8,28,20,1,59,167,46,21,3.90,-,-,-,-,-,-,-
בית דגן,466,"5,140.90","7,299",99.90,98,-,-,-,-,"3,672","3,627",6.66,7.21,8.45,8.30,14.92,16.44,20.26,5.22,12.52,27.24,5.08,759,86,..,0.20,  ..,39,4.41,47,6.45,0.19,4.60,..,..,..,..,..,-37,-41,266,129,137,80,57,116,13,307,166,141,80,85,126,16,108,70,27.10,39,13,..,..,..,..,..,..,..
בית שאן,"9,200","1,705.30","18,705",99.20,98.20,-,-,-,-,"9,418","9,287",9.62,8.49,7.90,7.63,15.71,18.11,15.64,5.47,11.43,30.55,3.81,821,384,2.99,1.40,( 3.6),127,6.02,257,13.83,1.31,6,6,33.33,50,16.67,0,260,-394,422,209,213,123,139,147,13,816,384,432,282,217,307,10,"1,110",303,48.40,88,12.10,3,137,-,-,0.17,0.44,0.12
בית שמש,"2,610","3,461.60","132,544",99.90,98.50,-,-,-,-,"66,516","66,028",17.40,15.50,12.66,9.29,14.81,15.96,8.66,1.81,3.91,51.61,1.45,"1,425","4,434",5.31,13.60, 3.3,258,4.76,"4,176",32.43,6.07,15.20,475,41.89,35.37,9.89,12.84,"2,982","2,528","5,777","3,103","2,674","2,875","1,879",945,78,"3,249","1,798","1,451","1,188","1,228",759,74,"7,557","1,497",62.80,303,7.20,23,"1,567",0.08,0.04,0.89,0.05,0.13
ביתר עילית,"3,780",..,"61,125",100,100,-,-,-,-,"30,424","30,701",19.63,17.73,15.47,10.34,14.00,14.66,6.25,0.78,1.13,59.37,0.31,"1,802","2,478",6.81,5.40, 2.3,46,5.08,"2,432",40.40,3.13,4.20,39,25.64,48.72,12.82,12.82,-419,-454,"1,358",750,608,608,561,157,32,"1,812",999,813,806,670,316,20,"2,493",885,103.30,93,5.10,8,620,-,0.11,0.91,-,-
בני ברק,"6,100","28,413.10","208,793",100,99.40,-,-,-,-,"107,151","101,642",16.85,13.71,11.24,10.43,15.52,15.30,7.83,2.30,6.81,48.24,2.60,"1,442","7,899",5.80,22.40, 3.0,766,5.10,"7,133",34.51,2.03,3.70,176,36.36,46.59,9.09,7.95,"-3,739","-3,885","3,526","2,122","1,404","1,078","1,681",674,93,"7,411","4,030","3,381","2,974","2,623","1,517",297,"11,263","3,468",79.60,340,4.60,87,"12,204",0.17,0.23,4.68,0.66,0.10
"בני עי""ש","1,066","8,470.20","6,925",99.30,80.90,-,-,-,-,"3,324","3,601",7.25,6.87,5.59,5.82,13.08,16.45,18.51,6.58,19.83,22.97,8.79,830,99,..,-,   -,66,4.91,33,4.75,-0.76,42.60,6,50,50,0,0,-120,-116,166,76,90,54,32,64,16,282,142,140,73,72,115,22,139,51,20.40,34,10.90,-,-,-,-,-,-,-
בנימינה-גבעת עדה*,"9,800",652.80,"15,925",99.80,96.50,-,-,-,-,"7,938","7,987",6.81,9.65,11.22,9.36,10.70,17.86,21.39,3.92,9.09,33.90,3.29,856,175,2.22,-,   -,46,4.57,129,8.12,0.49,7.20,8,25,25,25,25,-34,-36,527,237,290,180,76,252,19,563,261,302,137,158,248,20,456,52,10.40,58,9.30,2,229,-,-,-,1.44,-
"בסמ""ה","1,326","1,811","10,259",-,-,100,100,-,-,"5,257","5,001",10.54,10.35,10.01,10.74,19.53,18.09,13.47,2.66,4.58,37.44,1.70,860,245,2.97,2,( 8.3),38,5.47,207,20.43,2.48,0,0,0,0,0,0,31,26,100,30,70,33,46,20,1,74,25,49,17,39,18,-,18,174,65.20,15,3.70,-,-,-,-,-,-,-
בסמת טבעון,944,"2,024.20","7,997",-,-,99.70,100,-,-,"3,959","4,038",8.95,9.18,8.82,10.83,18.23,18.67,16.19,3.46,5.66,33.22,2.46,768,146,..,0.40,  ..,29,4.50,117,14.70,1.03,0.10,0,0,0,0,0,-37,-40,48,17,31,13,17,18,-,88,32,56,31,29,27,1,33,90,35.70,31,9.90,-,-,-,-,-,-,-
בענה,483,"2,438.50","8,434",-,-,99.80,92.60,7.40,-,"4,240","4,194",8.66,9.07,9.64,10.61,18.98,19.16,15.48,2.95,5.43,33.40,1.97,767,137,..,0.80,  ..,35,5.83,102,12.13,0.64,0.10,..,..,..,..,..,-56,-61,49,12,37,10,18,21,-,110,39,71,28,50,32,-,14,123,46.60,21,6.30,-,-,-,-,-,-,-
בת ים,"6,200","15,596.70","127,803",99.30,78.50,-,-,-,-,"61,097","66,706",6.20,6.18,5.41,4.98,10.67,20.21,17.81,5.90,22.65,20.78,9.82,832,"1,596",2.07,2.60,( 1.5),"1,566",5.73,30,0.23,-0.94,36,873,19.70,47.31,21.99,11.00,"-1,402","-2,148","3,199","1,648","1,551",508,816,"1,559",316,"5,347","2,609","2,738","1,340","1,110","2,398",499,"5,569",892,17,638,12,10,"1,200",0.64,0.10,0.02,0.18,-
גבעת זאב,"3,730",..,"19,225",99.90,99.20,-,-,-,-,"9,553","9,672",15.43,13.75,10.36,6.47,15.30,17.26,10.16,3.65,7.62,43.78,2.40,"1,157",566,4.29,2.20,( 3.9),38,3.17,528,28.05,4.37,7.80,55,38.18,43.64,10.91,7.27,271,200,"1,153",577,576,496,358,277,22,953,480,473,318,282,303,50,692,214,55.40,64,8.80,-,-,-,-,-,-,-
גבעת שמואל,681,"10,592","27,249",99.80,98.70,-,-,-,-,"13,548","13,701",9.39,9.92,9.78,7.36,13.27,18.85,15.09,3.63,12.71,34.16,5.25,967,446,2.59,0.60,  ..,114,3.76,332,12.34,2.53,9.60,56,17.86,55.36,14.29,12.50,315,263,"1,475",774,701,450,391,538,96,"1,212",614,598,350,418,409,35,"1,305",246,33.60,85,7.60,-,-,-,-,-,-,-
גבעתיים,"6,300","18,832.10","61,061",99.90,96.60,-,-,-,-,"29,098","31,963",7.97,7.09,5.97,4.67,11.29,26.35,16.25,4.00,16.40,23.94,8.20,727,975,1.87,1,( 1.0),434,4.37,541,8.89,0.69,8.50,44,31.82,54.55,6.82,6.82,-265,-339,"3,749","1,900","1,849",512,"1,275","1,835",127,"4,088","1,985","2,103",860,818,"2,207",203,"2,268",616,25.20,193,8.30,3,412,0.67,-,-,-,-
ג'דיידה-מכר,"1,292","2,346.40","21,336",-,-,99.90,92.80,7.20,-,"10,737","10,599",8.92,8.18,8.98,10.79,18.03,18.32,17.52,3.62,5.64,32.13,2.11,739,358,2.25,1.40,( 3.9),94,6.29,264,12.42,0.82,0,..,..,..,..,..,-87,-94,135,53,82,26,51,54,4,229,89,140,59,103,65,2,60,308,45.50,61,7.10,-,-,-,-,-,-,-
