שם יישוב,סמל היישוב,"צפיפות אוכלוסייה לקמ''ר ביישובים שמנו 5,000 תושבים ויותר","סה""כ  אוכלוסייה בסוף השנה",יהודים ואחרים (אחוזים),"יהודים 
(אחוזים מתוך יהודים ואחרים)",ערבים (אחוזים),מוסלמים (אחוזים מתוך האוכלוסייה הערבית),נוצרים (אחוזים מתוך האוכלוסייה הערבית),דרוזים (אחוזים מתוך האוכלוסייה הערבית),"סה""כ גברים בסוף השנה","סה""כ נשים בסוף השנה",אחוז באוכלוסייה בסוף השנה בני 4-0,אחוז באוכלוסייה בסוף השנה בני 9-5,אחוז באוכלוסייה בסוף השנה בני 14-10,אחוז באוכלוסייה בסוף השנה בני 19-15,אחוז באוכלוסייה בסוף השנה בני 29-20,אחוז באוכלוסייה בסוף השנה בני 44-30,אחוז באוכלוסייה בסוף השנה בני 59-45,אחוז באוכלוסייה בסוף השנה בני 64-60,אחוז באוכלוסייה בסוף השנה בני 65 ומעלה,אחוז באוכלוסייה בסוף השנה בני 17-0,אחוז באוכלוסייה בסוף השנה בני 75 ומעלה,"יחס תלות (ל-1,000 תושבים בלתי תלויים)",לידות חי,שיעור פריון כולל,פטירות תינוקות (ממוצע),"שיעור פטירות תינוקות ל-1,000 לידות חי",פטירות,"שיעור פטירות מתוקנן ל-1,000 תושבים","ריבוי טבעי
סה""כ","ריבוי טבעי  ל-1,000 תושבים",אחוז גידול האוכלוסייה לעומת השנה הקודמת,אחוז עולי 1990+ מסך האוכלוסייה,השתקעות ראשונה של עולים,אחוז עולים בהשתקעות ראשונה בני 17-0,אחוז עולים בהשתקעות ראשונה בני 44-18,אחוז עולים בהשתקעות ראשונה בני 64-45,אחוז עולים בהשתקעות ראשונה בני 65 ומעלה,"מאזן הגירה ביישוב
סה""כ",מאזן הגירה פנימית,"נכנסים מיישובים אחרים סה""כ",נכנסים מיישובים אחרים גברים,נכנסים מיישובים אחרים נשים,נכנסים מיישובים אחרים עד גיל 14,נכנסים מיישובים אחרים גיל 29-15,נכנסים מיישובים אחרים גיל 64-30,נכנסים מיישובים אחרים גיל 65 ומעלה,"יוצאים ליישובים אחרים סה""כ",יוצאים ליישובים אחרים גברים,יוצאים ליישובים אחרים נשים,יוצאים ליישובים אחרים עד גיל 14,יוצאים ליישובים אחרים גיל 29-15,יוצאים ליישובים אחרים גיל 64-30,יוצאים ליישובים אחרים גיל 65 ומעלה,הגירה בתוך הרשות המקומית,"נישאים סה""כ גברים ונשים","נישאים שיעור ל-1,000 תושבים לא נשואים בני 15 ומעלה","מתגרשים סה""כ גברים ונשים","מתגרשים שיעור ל-1,000 תושבים נשואים בני 15 ומעלה",אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) סך מוסדות דיור משותף ברשות,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) סך דיירי דיור משותף ברשות,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים בבתי אבות ובדיור מוגן,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות חינוך,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות דת,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות אשפוז כולל הוסטלים,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות אחרים
אבו גוש,472,"4,172.30","7,880",-,-,98.90,99.80,-,-,"3,937","3,943",9.82,9.75,9.11,8.98,16.52,20.24,14.96,4.11,6.48,34.00,2.18,791,162,..,0.60,  ..,15,5.25,147,18.79,1.41,0.28,0,0,0,0,0,-46,-49,71,31,40,19,18,33,1,120,55,65,35,44,38,3,81,60,26.80,24,7.40,4,31,-,0.30,0.04,0.06,-
אבו סנאן,473,"2,239.20","14,455",-,-,99.80,54.70,14.90,30.40,"7,398","7,057",8.77,8.05,8.18,9.19,18.08,20.48,16.14,3.62,7.48,30.17,2.73,715,212,1.88,1.60,( 6.6),62,5.05,150,10.43,1.04,0.03,0,0,0,0,0,-8,-12,149,61,88,28,60,60,1,161,63,98,43,69,48,1,3,155,35.80,32,5.10,-,-,-,-,-,-,-
אבן יהודה,182,"1,752.20","14,266",100,98.30,-,-,-,-,"7,029","7,238",6.04,9.35,10.71,8.77,10.19,16.23,20.39,4.07,14.25,31.66,5.83,966,134,1.93,0.40,  ..,60,4.02,74,5.23,1.76,6.02,43,25.58,67.44,4.65,2.33,186,119,664,348,316,258,67,322,17,545,268,277,117,167,219,42,337,45,10.20,34,5.90,5,347,1.35,0.30,-,0.83,-
אום אל-פחם,"2,710","2,221.10","57,677",-,-,99.90,100,-,-,"29,408","28,269",9.68,9.46,10.11,10.60,19.05,17.91,15.46,2.86,4.85,35.38,1.65,809,"1,130",2.54,4.40, 3.9,194,6.14,936,16.36,1.59,0.03,..,..,..,..,..,-70,-68,266,81,185,75,127,63,1,334,128,206,80,163,87,4,951,710,45,90,3.80,..,..,..,..,..,..,..
אופקים,31,"2,079.10","33,999",99.30,93.40,-,-,-,-,"16,805","17,194",13.93,11.25,8.44,6.78,15.58,19.29,12.26,3.83,8.65,37.65,3.27,962,992,3.95,3.80,( 4.2),208,6.56,784,23.56,4.44,16.89,42,28.57,47.62,19.05,4.76,692,637,"1,741",879,862,568,524,609,40,"1,104",577,527,346,349,364,45,"2,284",398,41.30,158,13.50,6,559,0.87,0.58,0.17,-,0.09
אור יהודה,"2,400","5,470.20","36,815",99.80,97.60,-,-,-,-,"18,284","18,531",8.56,8.28,7.32,6.90,13.54,20.12,16.24,5.25,13.79,28.28,5.05,813,639,2.58,0.60,  ..,233,5.18,406,11.03,0.12,13.91,29,37.93,41.38,17.24,3.45,-390,-429,929,464,465,261,209,395,64,"1,358",682,676,389,355,523,91,"1,280",266,21,147,9.60,8,488,0.46,-,0.46,0.41,-
אור עקיבא,"1,020","3,588.60","19,902",99.50,91.50,-,-,-,-,"9,815","10,087",8.87,8.48,7.16,6.09,12.37,20.83,15.67,5.95,14.60,28.04,5.65,824,341,2.55,1,( 2.8),158,6.07,183,9.30,2.34,28.08,46,30.43,30.43,26.09,13.04,249,218,843,423,420,208,171,398,66,625,304,321,192,150,236,47,878,139,20.80,111,14.30,5,328,-,-,0.75,0.50,0.43
אורנית,"3,760",..,"9,114",99.80,98.50,-,-,-,-,"4,634","4,480",7.08,9.92,11.22,8.98,11.94,16.88,20.00,4.39,9.60,34.18,2.49,879,113,..,   -,   -,17,3.38,96,10.62,1.66,4.99,9,33.33,22.22,33.33,11.11,50,40,427,219,208,159,71,181,16,387,186,201,88,136,143,20,231,60,23.40,32,8.50,-,-,-,-,-,-,-
אזור,565,"6,073.70","13,474",99.70,93.40,-,-,-,-,"6,685","6,789",8.87,8.44,7.26,5.36,12.63,21.66,15.90,4.95,14.93,27.94,5.52,813,241,2.55,   -,   -,84,4.68,157,11.71,1.06,10.99,9,22.22,55.56,11.11,11.11,-21,-50,611,306,305,149,180,253,29,661,328,333,213,130,284,34,450,92,20.20,45,8.40,..,..,..,..,..,..,..
אילת,"2,600",535.10,"52,753",95.30,83.20,4.70,77.10,12.40,10.30,"27,372","25,381",6.96,7.38,6.75,6.22,15.44,21.67,19.13,5.10,11.35,24.78,3.84,630,812,2.19,2,( 2.4),289,5.25,523,9.94,0.45,22.76,394,17.01,48.73,21.07,13.20,-217,-638,"2,535","1,397","1,138",473,"1,009",971,82,"3,173","1,645","1,528",633,"1,143","1,243",154,"4,633",324,13.90,315,17.60,5,337,0.19,0.26,0.13,0.06,-
אכסאל,478,"1,615","15,146",-,-,99.90,100,-,-,"7,831","7,315",9.90,9.43,9.68,10.28,19.00,18.63,15.07,2.89,5.12,35.17,1.56,799,298,2.53,0.40,  ..,49,6.03,249,16.55,1.39,0,..,..,..,..,..,-46,-55,85,24,61,25,47,13,0,140,59,81,38,55,47,0,4,200,48.10,26,4.10,..,..,..,..,..,..,..
אליכין,41,..,"3,461",100,98.90,-,-,-,-,"1,722","1,739",7.74,7.22,8.61,8.18,14.36,15.95,19.39,5.61,12.94,28.20,5.20,808,56,..,   -,   -,25,..,31,8.93,-0.67,2.80,0,0,0,0,0,-59,-59,118,54,64,41,25,50,2,177,87,90,67,36,69,5,82,27,21.90,12,8.70,-,-,-,-,-,-,-
אלעד,"1,309","14,219.80","49,593",100,100,-,-,-,-,"25,075","24,518",13.81,15.02,15.97,14.41,13.17,16.44,8.23,1.06,1.90,53.47,0.56,"1,571","1,415",5.12,2.80,( 2.0),37,3.35,"1,378",27.91,0.87,2.44,21,33.33,33.33,9.52,23.81,-987,"-1,003",915,518,397,365,366,161,23,"1,918","1,046",871,776,706,419,17,"1,700",624,61,94,6,11,"2,254",-,0.07,4.51,-,-
אלפי מנשה,"3,750",..,"7,966",100,96.10,-,-,-,-,"3,990","3,976",6.60,8.20,11.22,9.26,11.66,17.07,20.69,4.52,10.78,31.48,2.32,854,83,..,0.60,  ..,26,4.74,57,7.14,-0.39,8.17,7,42.86,42.86,14.29,0,-82,-94,268,138,130,91,40,109,28,362,187,175,93,97,137,35,193,33,13.40,32,9.60,-,-,-,-,-,-,-
אלקנה,"3,560",..,"4,072",100,99.80,-,-,-,-,"2,020","2,052",11.59,10.73,9.70,7.88,13.78,17.24,11.67,3.41,13.97,37.40,4.79,"1,169",92,..,0.60,  ..,9,..,83,20.79,4.10,3.12,0,0,0,0,0,81,76,371,181,190,167,95,106,3,294,150,144,127,70,92,5,147,54,69.20,7,3.80,..,..,..,..,..,..,..
אעבלין,529,"1,137.60","13,692",-,-,99.90,58,42,-,"6,912","6,781",7.96,9.03,9.33,9.44,17.46,19.43,16.81,3.81,6.73,32.06,2.32,739,202,1.90,1,( 4.7),46,5.67,156,11.45,1.07,0.04,0,0,0,0,0,-39,-34,107,41,66,39,39,27,2,141,44,97,41,52,48,0,0,142,34.30,29,5.10,3,101,-,-,-,-,0.75
אפרת,"3,650",..,"11,804",100,99.70,-,-,-,-,"6,072","5,733",11.73,12.99,11.95,9.63,13.14,18.82,10.72,3.52,7.51,43.04,2.08,"1,165",301,3.97,0.20,  ..,26,4.49,275,23.70,3.50,21.65,153,42.48,32.68,9.80,15.03,136,-31,513,283,230,207,111,162,33,544,292,252,194,186,138,26,669,108,41.70,24,5.40,4,404,-,2.57,0.97,-,-
אריאל,"3,570",..,"19,647",97.10,80.50,-,-,-,-,"9,858","9,789",7.31,7.87,6.96,5.21,19.32,18.23,15.87,5.76,13.48,25.05,4.98,690,312,2.40,0.80,  ..,114,4.77,198,10.09,0.33,33.13,90,14.44,66.67,11.11,7.78,-168,-215,679,368,311,149,288,213,29,894,447,447,212,303,344,35,856,115,14.90,79,9.90,3,"1,807",0.60,8.37,0.26,-,-
אשדוד,70,"4,791","225,975",99.80,89.60,-,-,-,-,"110,452","115,523",8.99,9.03,8.24,7.49,13.27,16.63,16.01,4.85,15.47,30.81,6.71,970,"4,315",3.18,10.80, 2.5,"1,624",4.96,"2,691",11.90,-0.08,27.74,"1,010",21.98,36.24,26.34,15.45,"-2,675","-3,648","3,331","1,803","1,528",901,960,"1,182",288,"6,979","3,670","3,309","2,007","2,216","2,370",386,"11,853","2,006",27.50,788,8.40,42,"3,233",0.35,0.07,0.60,0.37,0.03
אשקלון,"7,100","3,288.30","149,160",99.70,86,-,-,-,-,"72,582","76,578",8.69,8.62,7.28,6.04,12.61,19.58,15.71,5.36,16.11,28.20,6.60,878,"2,489",2.53,5.60, 2.2,"1,074",5.01,"1,415",9.57,1.80,28.69,527,20.87,39.28,23.53,16.32,"1,282",705,"4,421","2,149","2,272","1,097","1,085","1,849",390,"3,716","1,837","1,879","1,046","1,005","1,429",236,"8,992",927,18.40,626,10.60,21,"1,503",0.48,0.09,0.04,0.28,0.14
באקה אל-גרביה,"6,000","3,469.80","30,973",-,-,99.90,100,-,-,"15,655","15,317",9.30,9.59,9.83,10.66,17.85,18.85,15.00,3.24,5.67,34.98,2.00,820,556,2.34,3.40,( 6.0),123,6.63,433,14.10,1.69,0.03,..,..,..,..,..,73,65,311,120,191,119,113,77,2,246,100,146,79,97,69,1,9,309,34.70,65,5.30,..,..,..,..,..,..,..
באר יעקב,"2,530","3,154.70","29,852",99.70,96.30,-,-,-,-,"15,176","14,676",12.33,13.30,9.07,6.58,9.73,25.15,12.66,3.06,8.13,38.34,2.45,977,625,2.96,-,   -,74,3.56,551,18.72,2.89,10.59,29,24.14,65.52,3.45,6.90,369,328,"1,569",764,805,550,216,727,76,"1,241",639,602,467,204,518,52,792,132,19.90,91,7.60,9,"1,291",-,0.88,2.08,1.49,-
