שם יישוב,סמל היישוב,"צפיפות אוכלוסייה לקמ''ר ביישובים שמנו 5,000 תושבים ויותר","סה""כ  אוכלוסייה בסוף השנה",יהודים ואחרים (אחוזים),"יהודים 
(אחוזים מתוך יהודים ואחרים)",ערבים (אחוזים),מוסלמים (אחוזים מתוך האוכלוסייה הערבית),נוצרים (אחוזים מתוך האוכלוסייה הערבית),דרוזים (אחוזים מתוך האוכלוסייה הערבית),"סה""כ גברים בסוף השנה","סה""כ נשים בסוף השנה",אחוז באוכלוסייה בסוף השנה בני 4-0,אחוז באוכלוסייה בסוף השנה בני 9-5,אחוז באוכלוסייה בסוף השנה בני 14-10,אחוז באוכלוסייה בסוף השנה בני 19-15,אחוז באוכלוסייה בסוף השנה בני 29-20,אחוז באוכלוסייה בסוף השנה בני 44-30,אחוז באוכלוסייה בסוף השנה בני 59-45,אחוז באוכלוסייה בסוף השנה בני 64-60,אחוז באוכלוסייה בסוף השנה בני 65 ומעלה,אחוז באוכלוסייה בסוף השנה בני 17-0,אחוז באוכלוסייה בסוף השנה בני 75 ומעלה,"יחס תלות (ל-1,000 תושבים בלתי תלויים)",לידות חי,שיעור פריון כולל,פטירות תינוקות (ממוצע),"שיעור פטירות תינוקות ל-1,000 לידות חי",פטירות,"שיעור פטירות מתוקנן ל-1,000 תושבים","ריבוי טבעי
סה""כ","ריבוי טבעי  ל-1,000 תושבים",אחוז גידול האוכלוסייה לעומת השנה הקודמת,אחוז עולי 1990+ מסך האוכלוסייה,השתקעות ראשונה של עולים,אחוז עולים בהשתקעות ראשונה בני 17-0,אחוז עולים בהשתקעות ראשונה בני 44-18,אחוז עולים בהשתקעות ראשונה בני 64-45,אחוז עולים בהשתקעות ראשונה בני 65 ומעלה,"מאזן הגירה ביישוב
סה""כ",מאזן הגירה פנימית,"נכנסים מיישובים אחרים סה""כ",נכנסים מיישובים אחרים גברים,נכנסים מיישובים אחרים נשים,נכנסים מיישובים אחרים עד גיל 14,נכנסים מיישובים אחרים גיל 29-15,נכנסים מיישובים אחרים גיל 64-30,נכנסים מיישובים אחרים גיל 65 ומעלה,"יוצאים ליישובים אחרים סה""כ",יוצאים ליישובים אחרים גברים,יוצאים ליישובים אחרים נשים,יוצאים ליישובים אחרים עד גיל 14,יוצאים ליישובים אחרים גיל 29-15,יוצאים ליישובים אחרים גיל 64-30,יוצאים ליישובים אחרים גיל 65 ומעלה,הגירה בתוך הרשות המקומית,"נישאים סה""כ גברים ונשים","נישאים שיעור ל-1,000 תושבים לא נשואים בני 15 ומעלה","מתגרשים סה""כ גברים ונשים","מתגרשים שיעור ל-1,000 תושבים נשואים בני 15 ומעלה"
אבו גוש,472,"4,205.40","7,942.32",-,-,99,99.90,0.10,-,"3,949","3,994",9.60,9.20,9.30,8.70,16.83,20.25,14.95,4.30,7,33.30,2.40,776,140,..,0.80,  ..,27,5.28,113,14.28,0.79,0.20,..,-,-,-,-,-21,-30,61,30,31,14,26,20,..,91,46,45,31,22,38,-,84,94,41.20,16,4.90
אבו סנאן,473,"2,275.20","14,686.96",-,-,99.80,54.90,14.80,30.30,"7,538","7,149",8.90,7.90,8.10,8.70,18.02,20.49,16.44,3.90,7.60,30,2.80,700,262,2.29,1.60,( 6.5),51,5.26,211,14.48,1.61,-,-,-,-,-,-,33,35,140,56,84,28,59,51,..,105,37,68,27,48,30,-,-,183,41.10,28,4.40
אבן יהודה,182,"1,764.30","14,365.08",100,98.20,-,-,-,-,"7,065","7,300",5.70,9,10.70,9.30,10.48,15.25,21.18,3.90,14.50,31.30,6.10,967,137,2.09,0.40,  ..,69,3.99,68,4.75,0.69,6,51,15.69,78.43,1.96,3.92,72,2,567,281,286,199,83,254,31,565,284,281,117,179,235,34,384,67,14.60,54,9.20
אום אל-פחם,"2,710","2,259.20","58,664.53",-,-,99.90,100,-,-,"29,908","28,757",9.50,9.40,9.90,10.10,19.42,17.97,15.63,3.10,5,34.90,1.70,783,"1,140",2.47,4.80, 4.2,172,6.16,968,16.64,1.71,-,-,-,-,-,-,76,58,359,146,213,141,149,68,..,301,119,182,78,147,73,..,"1,150",844,51.90,106,4.40
אופקים,31,"2,171.30","35,506.14",99.30,93.40,-,-,-,-,"17,626","17,881",13.70,11.70,8.70,6.80,14.89,19.77,11.96,3.80,8.70,38.10,3.30,983,"1,015",3.87,3.40,( 3.6),175,6.51,840,24.17,4.43,16.30,85,17.65,45.88,18.82,17.65,735,622,"1,748",884,864,604,459,621,64,"1,124",565,559,354,332,397,41,"2,250",508,50.90,135,11.10
אור יהודה,"2,400","5,773.20","38,853.88",99.80,97.20,-,-,-,-,"19,234","19,620",8.90,8.40,7.10,6.70,13.23,20.89,15.97,5.10,13.70,28.40,5.10,811,631,2.46,0.60,  ..,232,5.26,399,10.55,5.54,14,57,28.07,38.60,22.81,10.53,"1,567","1,486","2,724","1,341","1,383",839,493,"1,240",152,"1,238",620,618,373,306,467,92,"2,350",423,33.20,141,9.30
אור עקיבא,"1,020","3,763.80","20,874.17",99.50,91.20,-,-,-,-,"10,294","10,581",8.70,8.50,7.20,6,12.26,20.96,15.71,5.80,14.90,28.10,5.80,828,359,2.62,0.60,  ..,169,6.04,190,9.32,4.88,27.90,243,27.16,37.45,22.63,12.76,806,526,"1,203",573,630,283,254,549,117,679,341,338,207,145,290,37,995,232,33.30,92,11.70
אורנית,"3,760",..,"9,295.20",99.80,98.20,-,-,-,-,"4,730","4,565",6.90,9.50,11.20,9.30,12.32,16.08,20.01,4.80,10,33.60,2.80,880,108,..,-,   -,31,3.30,77,8.37,1.99,5.20,13,30.77,38.46,23.08,7.69,109,102,465,229,236,162,75,207,21,365,181,184,90,101,158,16,323,64,24,47,12.40
אזור,565,"6,127.40","13,592.86",99.70,93.50,-,-,-,-,"6,741","6,852",8.50,8.40,7.70,5.60,12.23,21.41,16.38,4.80,15,28.10,6,825,209,2.24,-,   -,79,4.65,130,9.61,0.88,10.90,24,25,29.17,37.50,8.33,-11,-16,572,270,302,150,125,272,25,588,286,302,142,134,270,42,455,153,32.50,42,7.80
אילת,"2,600",539.10,"53,150.84",95.10,82.70,4.90,79,11.70,9.20,"27,544","25,606",6.60,7.20,6.90,6.20,15.07,21.65,19.31,5.20,11.80,24.30,4.10,632,725,1.98,1.60,( 2.0),316,5.39,409,7.72,0.75,23.30,715,19.30,47.27,22.80,10.63,188,-647,"2,401","1,313","1,088",422,923,942,114,"3,047","1,610","1,437",590,"1,075","1,201",181,"4,661",463,19.50,317,17.80
