שם יישוב,סמל היישוב,"צפיפות אוכלוסייה לקמ''ר ביישובים שמנו 5,000 תושבים ויותר","סה""כ  אוכלוסייה בסוף השנה",סך כל הישראלים,יהודים ואחרים (אחוזים מתוך כלל אוכלוסיית הישראלים),"יהודים 
(אחוזים מתוך יהודים ואחרים)",ערבים (אחוזים מתוך כלל אוכלוסיית הישראלים),מוסלמים (אחוזים מתוך האוכלוסייה הערבית),נוצרים (אחוזים מתוך האוכלוסייה הערבית),דרוזים (אחוזים מתוך האוכלוסייה הערבית),"סה""כ גברים בסוף השנה","סה""כ נשים בסוף השנה",אחוז באוכלוסייה בסוף השנה בני 4-0,אחוז באוכלוסייה בסוף השנה בני 9-5,אחוז באוכלוסייה בסוף השנה בני 14-10,אחוז באוכלוסייה בסוף השנה בני 19-15,אחוז באוכלוסייה בסוף השנה בני 29-20,אחוז באוכלוסייה בסוף השנה בני 44-30,אחוז באוכלוסייה בסוף השנה בני 59-45,אחוז באוכלוסייה בסוף השנה בני 64-60,אחוז באוכלוסייה בסוף השנה בני 65 ומעלה,אחוז באוכלוסייה בסוף השנה בני 17-0,אחוז באוכלוסייה בסוף השנה בני 75 ומעלה,"יחס תלות (ל-1,000 תושבים בלתי תלויים)",לידות חי,שיעור פריון כולל,פטירות תינוקות (ממוצע),"שיעור פטירות תינוקות ל-1,000 לידות חי",פטירות,"שיעור פטירות מתוקנן ל-1,000 תושבים","ריבוי טבעי
סה""כ","ריבוי טבעי  ל-1,000 תושבים",אחוז גידול האוכלוסייה לעומת השנה הקודמת,אחוז עולי 1990+ מסך האוכלוסייה,השתקעות ראשונה של עולים,אחוז עולים בהשתקעות ראשונה בני 17-0,אחוז עולים בהשתקעות ראשונה בני 44-18,אחוז עולים בהשתקעות ראשונה בני 64-45,אחוז עולים בהשתקעות ראשונה בני 65 ומעלה,"מאזן הגירה ביישוב
סה""כ",מאזן הגירה פנימית,"נכנסים מיישובים אחרים סה""כ",נכנסים מיישובים אחרים גברים,נכנסים מיישובים אחרים נשים,נכנסים מיישובים אחרים עד גיל 14,נכנסים מיישובים אחרים גיל 29-15,נכנסים מיישובים אחרים גיל 64-30,נכנסים מיישובים אחרים גיל 65 ומעלה,"יוצאים ליישובים אחרים סה""כ",יוצאים ליישובים אחרים גברים,יוצאים ליישובים אחרים נשים,יוצאים ליישובים אחרים עד גיל 14,יוצאים ליישובים אחרים גיל 29-15,יוצאים ליישובים אחרים גיל 64-30,יוצאים ליישובים אחרים גיל 65 ומעלה,הגירה בתוך הרשות המקומית,"נישאים סה""כ גברים ונשים","נישאים שיעור ל-1,000 תושבים לא נשואים בני 15 ומעלה","מתגרשים סה""כ גברים ונשים","מתגרשים שיעור ל-1,000 תושבים נשואים בני 15 ומעלה"
אבו גוש,472,"4,656.40","8,794","8,311",0.70,84.40,99.30,99.80,0.20,-,"4,658","4,136",8.50,8.40,7.80,7.80,18.27,22.46,15.98,4,6.70,29.70,2.20,647.10,138,..,0.80,  ..,28,5,110,13.24,1.21,1.30,..,..,0,0,0,-21,-23,71,30,41,19,19,32,..,94,39,55,29,28,35,..,102,98,41.90,19,5.70
אבו סנאן,473,"2,205.10","14,235","14,215",0.10,48,99.90,54.60,13.40,32,"7,415","6,820",8,7.90,7.30,8.20,18.03,21.06,16.77,4.40,8.40,28.20,3,660.80,207,1.80,1.60,( 6.8),62,5.30,145,10.20,1.13,0.40,-,-,-,-,-,10,28,172,62,110,38,72,60,..,144,45,99,36,66,38,4,..,172,37.90,33,5.20
אבן יהודה,182,"1,854.90","15,103","14,885",99.90,98.30,0.10,100,-,-,"7,383","7,720",4.90,8.30,10.20,9.90,10.47,15.82,21.04,4,15.20,29.90,6.60,948,115,1.78,   -,   -,67,3.70,48,3.22,0.40,6.10,29,6.90,82.76,6.90,3.45,53,20,489,248,241,144,64,255,26,469,227,242,100,148,186,35,303,58,12.10,61,10.40
אום אל-פחם,"2,710","2,284.40","59,319","59,268",0.10,43.40,99.90,100,-,-,"29,860","29,460",9.60,9.80,9.60,9.80,18.33,18.36,15.60,3.30,5.60,34.90,1.80,797.10,"1,138",2.38,5.20, 4.6,191,6.18,947,15.98,1.79,0.40,-,-,-,-,-,101,79,384,129,255,118,164,100,..,305,117,188,81,138,83,..,928,953,57.30,89,3.60
אור יהודה,"2,400","5,273.40","40,144","38,531",99.70,97.40,0.30,96.50,3.50,-,"19,939","20,204",9.20,8.50,7.10,6.30,12.49,20.90,16.93,5,13.70,28.50,5.30,809.10,693,2.65,0.40,  ..,208,5.16,485,12.59,3.18,13.60,52,36.54,44.23,7.69,11.54,648,619,"1,713",893,820,448,410,758,97,"1,094",575,519,286,298,443,67,"1,619",415,31.90,124,7.90
אור עקיבא,"1,020","4,364","24,203","23,821",99.40,91.20,0.60,97.80,1.40,0.70,"11,823","12,379",9,8.70,6.90,5.90,11.52,21.61,15.92,5.40,15.10,28.40,5.90,837.90,336,2.26,0.20,  ..,134,5.68,202,8.48,6.23,27.70,101,25.74,34.65,23.76,15.84,"1,326","1,269","1,915",944,971,553,349,860,153,646,337,309,164,154,285,43,"1,137",210,29,92,11.30
אורנית,"3,760","4,508.20","10,056","10,024",99.80,98.10,0.20,95.50,4.50,-,"5,096","4,960",6.30,9.20,10.60,10.30,12.83,15.98,20.81,4.50,9.40,32.70,2.70,846.50,102,1.96,   -,   -,16,2.90,86,8.58,0.32,5.30,9,33.33,44.44,22.22,0,-4,15,387,210,177,148,56,176,7,372,181,191,82,115,151,24,276,60,21.50,28,7.30
אזור,565,"5,863.50","13,008","12,657",99.60,94.40,0.40,87.30,6.80,5.80,"6,537","6,471",8,8.40,7.40,6.10,11.77,20.65,16.60,4.90,16.10,27.70,6.80,855.90,206,2.31,   -,   -,68,4.20,138,10.90,-1.79,10.30,19,42.11,31.58,15.79,10.53,-306,-310,399,203,196,86,119,172,22,709,351,358,211,168,294,36,357,113,23.70,51,9.40
אילת,"2,600",581.60,"57,339","54,688",93.90,83.80,6.10,78.30,11,10.70,"30,378","26,961",6.80,7.50,7.20,6.30,13.58,21.44,19.59,5.20,12.40,25.20,4.50,671.70,715,2.07,1.80,( 2.3),280,5.22,435,7.95,1.71,23.10,478,14.85,60.88,16.32,7.95,-424,-740,"2,086","1,130",956,379,787,841,79,"2,826","1,478","1,348",474,992,"1,217",143,"4,542",506,21.10,304,17
אכסאל,478,"1,597.30","14,980","14,955",0.10,48.70,99.90,100,-,-,"7,418","7,562",9.10,9,9,10,17.48,18.74,16.01,3.80,6.80,33.10,1.90,785,296,2.56,1,( 3.5),44,5.70,252,16.85,1.40,0.40,..,..,0,0,0,-41,-15,122,35,87,34,54,33,..,137,45,92,41,53,42,..,6,277,63.30,26,4
