סמל היישוב,שם יישוב,"ילדים בגנים של משרד החינוך סה""כ",ילדים בגנים של משרד החינוך גיל 3,ילדים בגנים של משרד החינוך גיל 4,ילדים בגנים של משרד החינוך גיל 5,ילדים בגנים של משרד החינוך גיל 6,"בתי ספר סה""כ",בתי ספר יסודיים,בתי ספר על-יסודיים,בתי ספר חטיבות ביניים,בתי ספר תיכוניים,"כיתות סה""כ",כיתות בבתי ספר יסודיים,כיתות בבתי ספר על-יסודיים,כיתות בחטיבות ביניים,כיתות בבתי ספר תיכוניים,"תלמידים סה""כ",תלמידים בבתי ספר יסודיים,תלמידים בבתי ספר על-יסודיים,תלמידים בחטיבות ביניים,תלמידים בבתי ספר תיכוניים,ממוצע תלמידים לכיתה בבתי ספר יסודיים,"אחוז תלמידים נושרים סה""כ",אחוז תלמידים נושרים בנים,אחוז תלמידים נושרים בנות,אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,השכלה גבוהה אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 55-35,השכלה גבוהה אחוז הנכנסים להשכלה גבוהה בתוך 8 שנים בקרב תלמידי יב,השכלה גבוהה אחוז סטודנטים מתוך אוכלוסיית בני 25-20,השכלה גבוהה אחוז סטודנטים מתוך כלל האוכלוסייה,עובדי הוראה מספר עובדי הוראה,עובדי הוראה ממוצע שעות עבודה לשבוע,עובדי הוראה אחוז עובדי הוראה חדשים,עובדי הוראה אחוז שעות היעדרות מסך שעות עבודה שנתיות,עובדי הוראה ממוצע שנות ותק מוכרות בהוראה,עובדי הוראה אחוז בעלי דרגת שכר תואר שני ומעלה,עובדי הוראה אחוז עובדי הוראה משתלמים מכלל עובדי הוראה,עובדי הוראה ממוצע תלמידים למורה,עובדי הוראה ממוצע שעות עבודה שבועיות לתלמיד
472,אבו גוש,408,127,133,148,-,5,4,4,1,3,68,34,34,11,23,"1,241",614,627,281,346,23.59,0.70,..,..,73.47,52.04,16.10,34.60,18.90,3.40,167,29.89,10.18,3.90,12.91,40.72,91.80,8.01,3.75
473,אבו סנאן,696,250,222,217,..,7,4,6,3,3,105,55,50,28,22,"2,416","1,242","1,174",648,526,24.43,0.38,0.75,-,79.46,58.92,14.37,27.40,13.50,2.50,294,31.12,3.40,3.10,19.80,51.70,82.10,9.22,3.41
182,אבן יהודה,717,202,218,276,21,7,5,4,1,3,152,97,55,8,47,"4,241","2,737","1,504",267,"1,237",27.49,0.46,..,..,91.32,85.54,59.96,50.80,14.40,3.10,323,32.04,4.95,3.60,17.28,47.68,71.70,14.47,2.23
"2,710",אום אל-פחם,"3,466","1,176","1,157","1,075",58,30,18,21,8,13,560,294,266,116,150,"13,933","7,153","6,780","3,137","3,643",26.75,0.96,1.38,0.54,69.82,49.21,10.52,27.10,13.10,2.40,"1,413",32.15,2.05,4,18.69,41.47,83.90,10.69,3.04
31,אופקים,"2,903",938,957,858,150,26,18,12,2,10,331,227,104,30,74,"7,234","4,860","2,374",730,"1,644",24.50,2.48,2.59,2.37,52.13,39.34,16.80,18.30,8,2,729,29.57,8.09,5.20,16.97,29.36,73.10,10.37,2.86
"2,400",אור יהודה,"1,893",594,607,634,58,19,13,10,3,7,262,161,101,40,61,"5,752","3,449","2,303","1,050","1,253",23.84,1.39,2.01,0.76,84.27,60.99,16.81,38.40,11.90,2.30,623,29.42,8.03,4.10,16.21,37.08,70.30,10.79,2.76
"1,020",אור עקיבא,"1,146",366,377,367,36,11,6,8,3,5,174,90,84,38,46,"3,762","1,915","1,847",994,853,24.37,0.90,1.36,0.40,88.14,74.23,18.42,32.30,9,1.90,451,32.52,5.32,4,17.06,41.91,80.90,9.64,3.44
"3,760",אורנית,462,137,145,158,22,4,3,1,-,1,73,52,21,-,21,"2,099","1,422",677,-,677,27.14,0.43,..,..,91.76,87.65,53.30,50.90,16.20,4,189,30.45,8.47,4.20,14.61,49.21,87.40,12.91,2.39
565,אזור,693,226,249,195,23,4,3,1,1,-,48,36,12,12,-,"1,358",990,368,368,-,27.50,0.81,0.80,0.81,82.35,71.32,24.87,45.70,12.30,2.60,135,29.86,5.93,2.90,14.76,44.44,88.80,13.70,2.23
"2,600",אילת,"2,360",717,789,783,71,21,14,13,5,8,387,216,171,77,94,"8,912","4,951","3,961","1,988","1,973",25.13,1.79,2.02,1.54,76.22,64.84,12.49,26.70,7.60,2.40,"1,021",34.83,4.21,4.20,15.56,43.10,83.60,10,3.56
478,אכסאל,917,269,324,311,13,9,6,7,2,5,150,76,74,32,42,"3,426","1,683","1,743",851,892,26.36,0.83,..,..,67.11,47.37,16.41,18.10,16.40,2.90,338,31.30,2.96,2.60,18.26,50.89,77.20,10.98,2.87
41,אליכין,155,53,49,49,..,2,2,-,-,-,7,7,-,-,-,167,167,-,-,-,23.86,1.39,..,..,66.67,55.56,31.26,-,9.90,3,26,27.96,7.69,3.20,15.73,53.85,76,10.44,2.83
"1,309",אלעד,"4,437","1,286","1,373","1,371",407,81,44,42,2,40,739,535,204,12,192,"17,173","12,080","5,093",265,"4,828",24.51,1.49,2.31,0.71,24.58,16.41,12.21,20.30,5.90,1.40,"1,048",30.01,7.35,3.20,16.46,13.36,46.90,13.98,2.17
"3,750",אלפי מנשה,349,96,134,110,..,3,2,1,1,-,51,33,18,18,-,"1,361",859,502,502,-,27,0.41,..,..,85.62,76.03,40.66,48.40,12.80,2.80,131,30.15,4.58,3.90,15.34,43.51,88.90,11.93,2.58
"3,560",אלקנה,259,85,85,80,..,5,1,7,4,3,63,17,46,26,20,"1,701",470,"1,231",708,523,27.65,..,..,..,86.75,83.13,72.95,-,34.90,6.70,185,30.83,5.95,4.10,16.83,56.76,80,9.74,3.18
