סמל היישוב,שם יישוב,כלל בעלי הכנסה מספר,כלל בעלי הכנסה שכר ממוצע,גברים מספר בעלי הכנסה,גברים שכר ממוצע,נשים מספר בעלי הכנסה,נשים שכר ממוצע,בעלי הכנסה משכר מספר,בעלי הכנסה משכר שכר ממוצע,בעלי הכנסה עסקית מספר,בעלי הכנסה עסקית שכר ממוצע,בעלי הכנסה משכר ועסקית מספר,בעלי הכנסה משכר ועסקית שכר ממוצע,שכירים השתכרים מתחת לשכר המינימום מספר
472,אבו גוש,"3,916","9,055.45","2,218","10,461.93","1,698","7,218.24","3,607","8,768.28",206,"9,938.37",103,"17,346.25","1,145"
473,אבו סנאן,"7,070","8,751.52","3,932","10,464.66","3,138","6,604.92","5,948","8,276.74",708,"9,128.02",414,"14,928.93","2,372"
182,אבן יהודה,"8,037","19,503.90","3,982","25,398.53","4,055","13,715.39","6,306","19,918.13",978,"14,598.20",753,"22,406.46","1,964"
"2,710",אום אל-פחם,"26,711","7,717.93","15,919","9,186.07","10,792","5,552.32","23,195","7,263.45","2,267","9,434.63","1,249","13,042.18","11,068"
31,אופקים,"4,509","11,870.41","2,201","14,643.32","2,308","9,226.06","3,718","11,181.62",378,"12,702.28",413,"17,309.82","1,551"
"2,400",אור יהודה,"20,838","10,942.80","10,345","12,874.96","10,493","9,037.89","17,793","10,641.21","1,944","11,135.31","1,101","15,476.79","5,076"
"1,020",אור עקיבא,"11,619","10,435.64","5,627","12,431.51","5,992","8,561.35","10,037","10,314.71",971,"9,899.87",611,"13,273.62","2,897"
"3,760",אורנית,"5,542","16,777.55","2,811","20,561.89","2,731","12,882.36","4,494","16,703.19",627,"14,777.33",421,"20,550.28","1,274"
565,אזור,"7,111","12,615.40","3,547","15,051.44","3,564","10,190.98","5,877","12,297.25",780,"13,249.56",454,"15,644.30","1,541"
"2,600",אילת,"36,638","10,761.93","19,308","12,342.82","17,330","9,000.60","31,363","10,326.74","2,959","12,576.77","2,316","14,336.53","8,333"
37,איתן,"4,665","13,706.90","2,338","16,529.66","2,327","10,870.80","4,115","13,592.85",222,"13,389.02",328,"15,352.98","1,111"
478,אכסאל,"7,110","9,030.59","4,301","10,767.40","2,809","6,371.27","5,953","8,237.34",820,"11,071.84",337,"18,076.22","2,545"
41,אליכין,"5,701","15,087.61","2,770","18,230.60","2,931","12,117.27","4,945","14,667.01",320,"15,047.30",436,"19,887.62","1,492"
"1,309",אלעד,"18,880","7,744.37","7,978","8,811.00","10,902","6,963.82","16,340","7,423.59","1,471","8,427.17","1,069","11,707.97","7,735"
"3,750",אלפי מנשה,"4,909","14,832.97","2,443","17,872.95","2,466","11,821.35","4,020","14,860.80",495,"13,580.21",394,"16,122.98","1,140"
