שם יישוב,סמל יישוב,צורת יישוב,type,סוג יישוב
JERUSALEM,3000,120,Cities,"יישובים יהודיים 500,000 תושבים ומעלה"
ASHDOD,70,130,Cities,"יישובים יהודיים 499,999-200,000 תושבים"
BE'ER SHEVA,9000,130,Cities,"יישובים יהודיים 499,999-200,000 תושבים"
BENE BERAQ,6100,130,Cities,"יישובים יהודיים 499,999-200,000 תושבים"
HAIFA,4000,130,Cities,"יישובים יהודיים 499,999-200,000 תושבים"
NETANYA,7400,130,Cities,"יישובים יהודיים 499,999-200,000 תושבים"
PETAH TIQWA,7900,130,Cities,"יישובים יהודיים 499,999-200,000 תושבים"
RISHON LEZIYYON,8300,130,Cities,"יישובים יהודיים 499,999-200,000 תושבים"
TEL AVIV - YAFO,5000,130,Cities,"יישובים יהודיים 499,999-200,000 תושבים"
ASHQELON,7100,140,Cities,"יישובים יהודיים 1999,999-100,000 תושבים"
BET SHEMESH,2610,140,Cities,"יישובים יהודיים 1999,999-100,000 תושבים"
BAT YAM,6200,140,Cities,"יישובים יהודיים 1999,999-100,000 תושבים"
HERZLIYYA,6400,140,Cities,"יישובים יהודיים 1999,999-100,000 תושבים"
HADERA,6500,140,Cities,"יישובים יהודיים 1999,999-100,000 תושבים"
HOLON,6600,140,Cities,"יישובים יהודיים 1999,999-100,000 תושבים"
MODI'IN-MAKKABBIM-RE'UT,1200,140,Cities,"יישובים יהודיים 1999,999-100,000 תושבים"
REHOVOT,8400,140,Cities,"יישובים יהודיים 1999,999-100,000 תושבים"
RAMAT GAN,8600,140,Cities,"יישובים יהודיים 1999,999-100,000 תושבים"
ELAT,2600,150,Cities,"יישובים יהודיים 99,999-50,000 תושבים"
EL'AD,1309,150,Cities,"יישובים יהודיים 99,999-50,000 תושבים"
BETAR ILLIT,3780,150,Cities,"יישובים יהודיים 99,999-50,000 תושבים"
GIV'ATAYIM,6300,150,Cities,"יישובים יהודיים 99,999-50,000 תושבים"
HOD HASHARON,9700,150,Cities,"יישובים יהודיים 99,999-50,000 תושבים"
TIBERIAS,6700,150,Cities,"יישובים יהודיים 99,999-50,000 תושבים"
YAVNE,2660,150,Cities,"יישובים יהודיים 99,999-50,000 תושבים"
KEFAR SAVA,6900,150,Cities,"יישובים יהודיים 99,999-50,000 תושבים"
LOD,7000,150,Cities,"יישובים יהודיים 99,999-50,000 תושבים"
MODI'IN ILLIT,3797,150,Cities,"יישובים יהודיים 99,999-50,000 תושבים"
NAHARIYYA,9100,150,Cities,"יישובים יהודיים 99,999-50,000 תושבים"
NETIVOT,246,150,Cities,"יישובים יהודיים 99,999-50,000 תושבים"
AKKO,7600,150,Cities,"יישובים יהודיים 99,999-50,000 תושבים"
AFULA,7700,150,Cities,"יישובים יהודיים 99,999-50,000 תושבים"
QIRYAT ATTA,6800,150,Cities,"יישובים יהודיים 99,999-50,000 תושבים"
QIRYAT GAT,2630,150,Cities,"יישובים יהודיים 99,999-50,000 תושבים"
QIRYAT MOTZKIN,8200,150,Cities,"יישובים יהודיים 99,999-50,000 תושבים"
ROSH HAAYIN,2640,150,Cities,"יישובים יהודיים 99,999-50,000 תושבים"
RAMLA,8500,150,Cities,"יישובים יהודיים 99,999-50,000 תושבים"
RA'ANNANA,8700,150,Cities,"יישובים יהודיים 99,999-50,000 תושבים"
OFAQIM,31,160,Cities,"יישובים יהודיים 49,999-20,000 תושבים"
OR YEHUDA,2400,160,Cities,"יישובים יהודיים 49,999-20,000 תושבים"
OR AQIVA,1020,160,Cities,"יישובים יהודיים 49,999-20,000 תושבים"
ARI'EL,3570,160,Cities,"יישובים יהודיים 49,999-20,000 תושבים"
BE'ER YA'AQOV,2530,160,Cities,"יישובים יהודיים 49,999-20,000 תושבים"
BET SHE'AN,9200,160,Cities,"יישובים יהודיים 49,999-20,000 תושבים"
GIV'AT ZE'EV,3730,160,Cities,"יישובים יהודיים 49,999-20,000 תושבים"
GIV'AT SHEMU'EL,681,160,Cities,"יישובים יהודיים 49,999-20,000 תושבים"
GEDERA,2550,160,Cities,"יישובים יהודיים 49,999-20,000 תושבים"
GAN YAVNE,166,160,Cities,"יישובים יהודיים 49,999-20,000 תושבים"
GANNE TIQWA,229,160,Cities,"יישובים יהודיים 49,999-20,000 תושבים"
