סמל היישוב,שם יישוב,"מספר מקבלי דמי אבטלה 
(סה""כ שנתי)","אחוז מקבלי דמי אבטלה מבני 67-20
(שנתי)","מקבלי דמי אבטלה 
(ממוצע חודשי) סה""כ","מקבלי דמי אבטלה 
(ממוצע חודשי) גברים","אחוז מקבלי דמי אבטלה מבני 67-20
(ממוצע חודשי)","גיל ממוצע של מקבלי דמי אבטלה
(לא כולל חיילים)","דמי אבטלה ממוצעים ליום
(ש""ח)","ימי זכאות לדמי אבטלה
(ממוצע שנתי)","ניצול ימי אבטלה בשנה 
(ממוצע שנתי)","ניצול ימי אבטלה בשנה 
(חציון שנתי)","מקבלי הכשרה מקצועית
סה""כ","מקבלי קצבאות זקנה ושאירים סה""כ (סוף שנה)",אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זקנה ושאירים (סוף שנה),"מקבלי גמלת הבטחת הכנסה (נפשות, במשך השנה)",מקבלי גמלאות סיעוד (סוף שנה),מקבלי גמלאות נכות כללית (סוף שנה),מקבלי גמלאות ניידות (סוף שנה),מקבלי גמלאות נכות מעבודה ותלויים (סוף שנה),"אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים כללית","אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים מכבי","אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים מאוחדת","אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים לאומית","מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) סה""כ",מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 2-1 ילדים במשפחה,מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 4-3 ילדים במשפחה,מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 5 ילדים ויותר במשפחה,"מספר ילדים שבגינם שולמו קצבאות סה""כ",מספר ילדים שבגינם שולמו קצבאות במשפחות עם 2-1 ילדים,מספר ילדים שבגינם שולמו קצבאות במשפחות עם 4-3 ילדים,מספר ילדים שבגינם שולמו קצבאות במשפחות עם 5 ילדים ויותר
472,אבו גוש,144,3.27,49,31,1.13,40,186,146,82,71,..                                                ,435,29.43,287,177,301,29,19,87.10,2.30,10,0.60,"1,056",654,354,48,"2,425",997,"1,175",253
473,אבו סנאן,414,4.98,139,76,1.69,38,167,137,82,72,-                                                 ,862,24.71,717,243,557,76,51,62.10,8.40,4.50,25,"1,897","1,238",613,46,"4,109","1,876","1,988",245
182,אבן יהודה,366,4.96,119,53,1.61,44,255,152,78,72,..                                                ,"1,753",3.14,44,249,208,65,51,43.10,38.40,15.30,3.20,"1,593",996,580,17,"3,474","1,540","1,843",91
"2,710",אום אל-פחם,"1,241",4.04,428,279,1.41,40,168,148,84,72,-                                                 ,"2,386",25.98,"4,280","1,112","1,943",255,167,73.20,7.60,19.10,0.20,"8,503","4,873","3,180",450,"20,459","7,466","10,593","2,400"
31,אופקים,197,4.70,59,28,1.45,38,201,149,74,67,-                                                 ,425,1.88,14,65,87,19,9,65.90,14.70,17.20,2.20,"1,017",249,434,334,"3,910",402,"1,524","1,984"
"2,400",אור יהודה,"1,260",5.83,380,170,1.75,41,192,142,72,60,..                                                ,"4,770",14.93,574,"1,258","1,531",172,117,58.70,34,2.30,5,"5,294","3,443","1,676",175,"11,575","5,134","5,441","1,000"
"1,020",אור עקיבא,862,7.76,288,130,2.63,42,196,146,82,72,-                                                 ,"2,917",32.05,541,792,713,91,86,65.70,17.80,10.60,5.80,"2,432","1,622",716,94,"5,258","2,412","2,315",531
"3,760",אורנית,256,5.05,87,33,1.72,43,271,152,82,74,-                                                 ,696,3.59,11,41,150,42,25,39.50,52.40,4.60,3.50,960,600,346,14,"2,125",925,"1,122",78
565,אזור,413,5.39,138,55,1.80,43,210,146,82,74,..                                                ,"1,723",7.84,160,308,339,65,57,41.30,52.50,3.30,2.80,"1,562","1,032",480,50,"3,420","1,587","1,550",283
"2,600",אילת,"2,104",6.27,630,293,1.88,43,203,147,71,60,..                                                ,"5,603",20.31,"1,182",671,"2,039",223,259,55,34.80,4,6.20,"7,215","5,270","1,761",184,"14,504","7,768","5,700","1,036"
37,איתן,206,4.41,64,28,1.39,40,227,140,73,69,..                                                ,940,3.62,114,218,115,17,21,80.90,14.30,1.80,3,958,549,366,43,"2,233",807,"1,190",236
478,אכסאל,211,2.57,71,48,0.87,42,184,149,84,73,-                                                 ,657,37.75,695,225,478,96,62,83.80,11.30,1,3.90,"2,288","1,347",837,104,"5,380","2,064","2,770",546
41,אליכין,185,3.41,60,25,1.12,40,235,147,77,69,-                                                 ,868,1.96,39,174,131,13,19,79.80,16.80,1.60,1.90,999,552,383,64,"2,477",830,"1,263",384
"1,309",אלעד,"1,150",6.31,313,121,1.75,37,171,150,65,48,-                                                 ,831,8.66,316,115,765,65,6,34.30,30.60,25.10,10,"6,203","1,216","2,162","2,825","27,222","1,937","7,638","17,647"
"3,750",אלפי מנשה,231,5.09,76,31,1.68,44,236,153,80,74,-                                                 ,733,4.23,..                                                ,38,146,37,23,44.70,47.40,5.90,2,"1,122",712,397,13,"2,430","1,100","1,254",76
"3,560",אלקנה,79,4.13,26,13,1.35,37,236,137,76,70,-                                                 ,459,1.09,..                                                ,23,38,12,8,51.20,34,5.10,9.70,602,249,287,66,"1,712",376,985,351
529,אעבלין,242,3.13,83,50,1.09,41,175,148,85,79,-                                                 ,832,35.10,583,176,469,56,48,74.60,10.50,10.70,4.10,"1,822","1,094",666,62,"4,171","1,654","2,184",333
"3,650",אפרת,212,3.99,66,34,1.27,40,227,148,76,69,-                                                 ,597,4.86,28,77,170,20,8,23.20,36,38.70,2.10,"1,337",634,536,167,"3,707",936,"1,866",905
"3,570",אריאל,648,4.92,215,96,1.64,44,218,150,81,76,..                                                ,"2,429",35.03,122,448,501,62,75,41.40,36.60,3.50,18.50,"2,329","1,681",548,100,"4,802","2,436","1,777",589
71,אשבול,552,6.04,177,82,1.97,41,223,152,78,73,..                                                ,"1,194",4.10,58,59,312,38,45,79.90,15,1.50,3.60,"2,075","1,140",717,218,"5,328","1,713","2,379","1,236"
70,אשדוד,"7,571",6.22,"2,395","1,003",1.97,42,191,146,77,67,12,"32,335",32.89,"5,510","8,937","6,141",785,"1,148",32.30,30.10,20.50,17.10,"31,152","19,313","8,747","3,092","76,432","28,560","28,915","18,957"
"7,100",אשקלון,"4,892",5.96,"1,594",663,1.95,42,189,145,79,70,16,"21,782",37.13,"5,116","6,807","5,053",635,821,48.90,28.20,11.90,11,"16,916","11,309","4,919",688,"36,551","16,611","16,089","3,851"
"6,000",באקה אל-גרביה,523,3.17,177,103,1.09,41,185,148,83,71,-                                                 ,"1,560",18.33,782,565,976,155,116,73.20,4.30,11.50,11,"5,665","3,402","2,053",210,"13,146","5,218","6,816","1,112"
"2,530",באר יעקב,726,4.87,236,94,1.63,40,229,142,78,73,..                                                ,"1,743",10.96,139,217,349,42,44,50,38.20,8,3.80,"2,318","1,181","1,077",60,"5,699","1,923","3,425",351
"9,000",באר שבע,"6,325",5.19,"2,003",891,1.64,41,189,141,77,67,13,"31,407",31.49,"8,148","7,521","10,261","1,161","1,344",61.40,25.10,4.40,9.10,"30,827","19,732","9,120","1,975","71,221","29,544","29,929","11,748"
482,בועיינה-נוג'ידאת,203,3.71,66,38,1.23,39,183,144,80,71,-                                                 ,394,49.24,413,138,371,52,42,77.60,0.20,4.40,17.80,"1,562",922,578,62,"3,675","1,422","1,933",320
"4,001",בוקעאתא,161,4.07,59,43,1.51,42,180,152,91,74,-                                                 ,393,39.44,350,133,245,31,16,54.60,10.30,10.30,24.80,"1,010",748,253,9,"1,995","1,143",805,47
998,ביר אל-מכסור,222,4.20,81,58,1.56,42,178,152,91,86,-                                                 ,462,39.18,386,112,366,60,31,62.60,1.90,10.40,25.10,"1,535",859,598,78,"3,738","1,339","1,989",410
"3,574",בית אל,82,3.16,25,15,0.97,38,185,141,72,67,-                                                 ,276,7.61,27,24,94,15,10,49.80,5.20,3,41.90,"1,012",391,341,280,"3,495",593,"1,185","1,717"
"3,652",בית אריה-עופרים,146,4.86,48,23,1.61,44,232,152,82,74,..                                                ,364,4.40,..                                                ,24,63,17,22,22.90,34.70,5.90,36.40,577,370,196,11,"1,267",567,640,60
480,בית ג'ן,365,4.93,116,44,1.58,38,158,134,76,67,..                                                ,827,17.90,373,235,465,55,28,46.40,0.20,30.90,22.50,"1,744","1,247",482,15,"3,509","1,910","1,523",76
466,בית דגן,188,4.36,60,28,1.39,41,218,139,77,67,-                                                 ,785,5.99,59,150,159,46,34,51,32.60,13.90,2.50,839,544,280,15,"1,791",801,911,79
16,בית ניר,"1,177",5.21,387,174,1.72,42,253,149,79,73,..                                                ,"4,856",1.69,70,667,587,135,140,69.10,21.90,5.60,3.30,"5,204","3,419","1,707",78,"11,153","5,294","5,440",419
"9,200",בית שאן,801,7.50,244,117,2.29,41,181,143,73,65,..                                                ,"2,129",17.19,946,519,987,74,107,93.90,5.60,0.20,0.20,"2,890","1,926",785,179,"6,485","2,856","2,575","1,054"
"2,610",בית שמש,"2,539",4.86,735,279,1.44,37,173,139,69,52,..                                                ,"4,519",26.20,"2,024","1,171","2,387",233,46,26.70,12.60,41.50,19.30,"14,374","5,066","4,284","5,024","55,022","7,524","14,815","32,683"
"3,780",ביתר עילית,"1,292",6.15,351,133,1.71,34,148,138,65,48,..                                                ,667,20.24,"1,535",114,914,65,15,17.30,4.40,48,30.40,"7,377","1,732","2,122","3,523","33,175","2,639","7,486","23,050"
"6,100",בני ברק,"3,913",4.49,994,335,1.16,35,164,135,60,47,..                                                ,"13,152",12.05,"2,011","2,478","5,071",561,206,25.40,48.20,16.10,10.30,"30,698","12,474","9,868","8,356","105,982","18,762","33,964","53,256"
"1,066","בני עי""ש",254,6.23,80,38,1.95,43,201,148,78,67,-                                                 ,"1,292",41.87,118,429,222,35,16,45.30,25,27.40,2.40,787,556,203,28,"1,624",796,678,150
"9,800",בנימינה-גבעת עדה*,278,3.16,91,31,1.04,42,242,147,81,74,-                                                 ,"1,254",6.46,103,206,269,43,54,45.30,34.90,13.20,6.60,"1,829","1,143",658,28,"4,029","1,772","2,101",156
"1,326","בסמ""ה",191,3.55,64,43,1.21,41,171,150,81,72,-                                                 ,438,32.65,527,201,244,42,25,76.10,5.20,18.20,0.50,"1,564",870,583,111,"3,915","1,368","1,963",584
944,בסמת טבעון,180,3.98,59,35,1.32,40,169,144,82,76,-                                                 ,449,25.84,242,91,283,32,24,87.80,10.30,0.60,1.30,"1,183",743,381,59,"2,688","1,111","1,267",310
483,בענה,176,3.71,58,32,1.24,37,167,138,79,67,-                                                 ,431,39.68,488,181,281,34,18,58,2.80,12.90,26.40,608,226,338,44,"1,769",386,"1,149",234
"6,200",בת ים,"4,221",5.60,"1,355",619,1.79,44,200,150,79,72,10,"29,723",27.84,"2,867","8,445","5,337",686,637,37.20,48.50,7.60,6.80,"18,243","13,914","3,860",469,"35,459","20,338","12,381","2,740"
33,בת שלמה,632,4.86,204,82,1.58,40,227,142,78,70,..                                                ,"3,228",1.89,139,455,429,85,128,65.80,18.90,8.40,6.90,"2,883","1,758","1,057",68,"6,510","2,691","3,443",376
"3,730",גבעת זאב,408,4.52,126,54,1.40,38,193,138,74,66,..                                                ,"1,320",7.95,165,169,308,72,63,34,14.40,41.60,10,"2,185",965,826,394,"6,631","1,445","2,821","2,365"
681,גבעת שמואל,536,3.81,171,78,1.22,40,241,145,75,67,..                                                ,"2,928",7.21,84,487,420,95,73,36.90,49.70,8.40,5,"3,619","1,869","1,553",197,"9,172","2,914","5,208","1,050"
"6,300",גבעתיים,"1,826",5.00,555,238,1.52,40,258,137,72,64,..                                                ,"9,358",4.90,215,"1,744","1,131",216,201,39.80,50.60,6.20,3.50,"7,353","5,302","2,024",27,"14,688","8,234","6,308",146
35,גדות,207,4.55,68,27,1.51,42,231,150,77,72,-                                                 ,867,1.50,30,142,137,25,19,73.30,19.90,4,2.80,925,508,398,19,"2,164",792,"1,273",99
"1,292",ג'דיידה-מכר,735,5.98,240,131,1.98,39,173,141,80,67,-                                                 ,"1,152",30.30,"1,618",271,808,97,86,84.80,1.20,3.80,10.20,"3,040","2,015",967,58,"6,479","3,024","3,160",295
"2,550",גדרה,638,4.31,194,86,1.32,41,224,144,73,65,..                                                ,"2,639",14.93,250,634,487,73,86,58.40,25.50,15.10,1,"3,421","1,938","1,344",139,"8,178","3,026","4,364",788
485,ג'ולס,243,6.03,85,32,2.13,38,160,139,82,67,-                                                 ,425,12,138,117,241,28,23,73.70,0.50,5.30,20.60,890,657,231,..                                                ,"1,732",996,726,10
627,ג'לג'וליה,84,1.57,27,15,0.51,41,190,148,74,68,-                                                 ,518,25.68,221,183,358,40,25,80.70,16.90,1.80,0.70,"1,533",888,555,90,"3,676","1,350","1,837",489
166,גן יבנה,709,5.12,231,89,1.68,42,215,148,79,71,..                                                ,"1,694",9.33,188,297,443,60,89,42,31.60,20.60,5.80,"2,474","1,481",894,99,"5,700","2,257","2,905",538
72,גן שמואל,"1,133",5.41,363,178,1.77,39,227,147,77,67,-                                                 ,"1,721",11.16,164,149,487,90,76,42,29.50,5,23.60,"4,854","1,911","1,813","1,130","15,805","2,916","6,260","6,629"
229,גני תקווה,472,4.40,155,61,1.48,43,249,148,80,77,..                                                ,"2,874",3.55,92,383,320,66,59,40.80,46.10,5.30,7.80,"2,009","1,272",657,80,"4,554","1,981","2,101",472
541,ג'סר א-זרקא,346,4.46,119,73,1.55,40,181,151,82,71,..                                                ,596,11.07,395,113,762,37,18,83.50,0.20,0.10,16.20,"2,256","1,095",871,290,"6,292","1,653","2,999","1,640"
39,גפן,259,4.85,83,34,1.57,39,196,143,77,68,-                                                 ,862,2.09,88,222,211,38,38,65.50,30.10,2.70,1.70,"1,240",611,491,138,"3,378",934,"1,673",771
487,ג'ש (גוש חלב),77,4.13,22,10,1.18,38,191,136,67,56,..                                                ,332,18.37,33,84,88,6,21,68,6.50,3.50,22,404,271,129,..                                                ,856,417,417,22
628,ג'ת,209,3.02,71,46,1.04,42,180,149,84,76,-                                                 ,727,14.31,178,220,212,18,25,59.30,1,9.60,30.10,371,153,200,18,"1,054",286,665,103
494,דאלית אל-כרמל,535,4.84,175,81,1.60,39,175,135,78,70,-                                                 ,"1,330",23.83,378,286,845,94,111,49,8.30,19.10,23.50,"3,477","2,768",698,11,"6,311","4,045","2,210",56
489,דבורייה,137,2.35,44,29,0.76,39,180,145,79,70,-                                                 ,595,29.24,284,227,341,43,40,72.50,11.80,15.60,0.10,"1,583",961,570,52,"3,586","1,428","1,884",274
490,דייר אל-אסד,248,3.57,79,47,1.15,41,181,148,80,70,..                                                ,607,31.47,465,246,317,31,24,77.20,0.30,15.90,6.60,976,390,507,79,"2,778",667,"1,694",417
492,דייר חנא,386,6.36,128,72,2.13,41,171,149,83,73,..                                                ,611,42.23,621,188,427,52,62,69.80,0.60,8.70,21,"1,539",983,512,44,"3,386","1,508","1,646",232
"2,200",דימונה,"1,469",7.32,453,189,2.26,39,178,136,73,60,..                                                ,"4,649",35.08,"2,829","1,213","1,719",181,253,67.60,26.80,0.30,5.40,"6,057","3,890","1,718",449,"13,977","5,703","5,657","2,617"
"9,700",הוד השרון,"1,649",4.62,537,207,1.51,43,258,148,79,72,..                                                ,"7,993",6.86,176,979,"1,277",199,200,46.30,41.20,10,2.50,"6,948","4,572","2,297",79,"14,724","7,037","7,236",451
"3,769",הר אדר,89,3.90,32,14,1.40,42,254,147,90,89,-                                                 ,413,1.94,..                                                ,11,39,6,3,35.50,25.40,36.10,3,447,277,166,..                                                ,"1,002",447,535,20
"6,400",הרצלייה,"2,465",4.40,781,338,1.40,42,249,146,76,68,..                                                ,"17,551",6.96,423,"2,294","2,389",384,383,37.70,45.90,12.40,4,"11,756","8,347","3,243",166,"23,885","12,697","10,242",946
"9,300",זכרון יעקב,539,4.17,171,70,1.32,42,237,145,76,63,..                                                ,"2,484",4.71,88,334,402,84,67,42.40,45,11,1.50,"2,654","1,666",831,157,"6,176","2,534","2,677",965
"1,290",זמר,106,2.69,41,25,1.05,43,188,150,95,98,-                                                 ,423,16.31,180,153,177,20,20,56.20,1.50,11,31.40,976,579,353,44,"2,300",897,"1,172",231
975,זרזיר,218,4.95,70,41,1.61,38,170,140,77,64,..                                                ,357,29.69,234,80,283,51,21,79,2.80,17.30,1,"1,361",774,508,79,"3,310","1,182","1,712",416
"6,500",חדרה,"3,361",5.99,"1,105",485,1.98,42,198,143,80,72,..                                                ,"15,023",23.20,"2,216","3,462","3,077",440,420,54.20,14.10,20.80,10.90,"11,326","7,666","3,211",449,"24,469","11,452","10,410","2,607"
"6,600",חולון,"5,939",5.31,"1,924",810,1.72,43,210,147,79,70,11,"34,905",16.23,"2,264","8,437","6,340","1,018",866,38.10,50.30,5.80,5.80,"25,247","17,599","6,969",679,"52,689","26,465","22,364","3,860"
"1,303",חורה,170,1.98,52,38,0.62,36,183,140,73,64,..                                                ,409,55.26,"2,523",70,373,59,25,85.50,0.30,1.30,12.90,"2,251",551,750,950,"9,473",852,"2,651","5,970"
496,חורפיש,116,3.05,37,20,0.99,38,188,135,75,67,-                                                 ,397,11.59,87,110,188,36,11,68.30,1.80,9.40,20.50,995,693,296,6,"2,041","1,053",958,30
"4,000",חיפה,"6,529",4.00,"2,107",965,1.29,42,201,142,78,69,15,"55,767",22.05,"7,922","9,381","10,665","1,413","1,404",49,37.60,9.50,3.90,"34,679","25,200","8,214","1,265","71,451","37,550","26,321","7,580"
13,חצבה,230,3.69,76,32,1.22,41,235,144,79,75,-                                                 ,"1,767",1.81,52,292,256,39,47,84.90,12.70,0.50,1.90,"1,419",848,554,17,"3,174","1,297","1,784",93
"2,034",חצור הגלילית,322,6.39,101,40,2.01,39,177,140,76,67,..                                                ,"1,107",19.60,258,253,464,39,60,61.40,23,0.50,15.20,"1,553",946,458,149,"3,860","1,419","1,535",906
