Feature,MAE_Increase_Mean,MAE_Increase_Std
השכלה גבוהה אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 55-35,1.7602273099550647,0.12195873763065693
gini_wage_2019,1.3475365845423144,0.19259150725286953
"מספר ילדים שבגינם שולמו קצבאות במשפחות עם 5 ילדים ויותר ל-1,000 תושבים",1.1453687952932008,0.11411969962981118
"אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים כללית",1.0084199621273122,0.1617925033080802
אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,0.8180135177511592,0.09474696383182869
"נישאים שיעור ל-1,000 תושבים לא נשואים בני 15 ומעלה",0.6693226729147492,0.052494228159310076
type_Kibbutzim,0.6235114033075213,0.06696603716663034
gender_wage_ratio,0.6075075089625989,0.17083624490485555
אחוז באוכלוסייה בסוף השנה בני 4-0,0.5793618289123166,0.08311116963754733
אחוז באוכלוסייה בסוף השנה בני 44-30,0.4095863282169878,0.12671976733805362
type_Moshavim,0.4075511320643487,0.10246784508717194
אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זקנה ושאירים,0.402547297939236,0.054687104332701894
אחוז באוכלוסייה בסוף השנה בני 59-45,0.3732167268538986,0.05413056058842127
יהודים ואחרים (אחוזים מתוך כלל אוכלוסיית הישראלים),0.33099172751170436,0.048864920729543244
ערבים (אחוזים מתוך כלל אוכלוסיית הישראלים),0.3280343805827899,0.05668196884481888
השכלה גבוהה אחוז סטודנטים מתוך אוכלוסיית בני 25-20,0.3049034561570106,0.04421601418400357
type_Cities,0.2953643842666816,0.05188301627818965
"ריבוי טבעי ל-1,000 תושבים",0.2745057729178,0.046677644667470736
אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,0.2716743252972945,0.0403481317046142
נכנסים מיישובים אחרים גיל 64-30,0.26981648994852775,0.05694314795612403
יהודים (אחוזים מתוך יהודים ואחרים),0.24695189604412288,0.031041580005631605
מוסלמים (אחוזים מתוך האוכלוסייה הערבית),0.2280279497777788,0.047942022545342314
אחוז עולי 1990+ מסך האוכלוסייה,0.2091314357342659,0.0422114463118088
"צפיפות אוכלוסייה לקמ''ר ביישובים שמנו 5,000 תושבים ויותר",0.1786533552821778,0.041872353798438525
עובדי הוראה ממוצע שעות עבודה לשבוע,0.15591611104981276,0.030571195923456355
עובדי הוראה ממוצע שעות עבודה שבועיות לתלמיד,0.1192784061268175,0.01965703237264231
גיל ממוצע של מקבלי דמי אבטלה (לא כולל חיילים),0.11832386175420781,0.0631777353846442
"יחס תלות (ל-1,000 תושבים בלתי תלויים)",0.10953038985824222,0.022271717220808576
avg_monthly_wage,0.049499493321655576,0.052143838343256886
type_other,0.04399867556554353,0.01877749601854125
מקבלי דמי אבטלה (ממוצע חודשי) גברים,0.018080840560278942,0.06740404846170565
עובדי הוראה אחוז בעלי דרגת שכר תואר שני ומעלה,-0.05323739934956073,0.02661353465536779
