feature,source,2019,2020,2021,2022,2023,years_available,available_all_2019_2023,available_2022_and_2023
demographic__אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים בבתי אבות ובדיור מוגן,demographic,False,True,True,False,False,2,False,False
demographic__אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות אחרים,demographic,False,True,True,False,False,2,False,False
demographic__אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות אשפוז כולל הוסטלים,demographic,False,True,True,False,False,2,False,False
demographic__אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות דת,demographic,False,True,True,False,False,2,False,False
demographic__אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות חינוך,demographic,False,True,True,False,False,2,False,False
demographic__אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) סך דיירי דיור משותף ברשות,demographic,False,True,True,False,False,2,False,False
demographic__אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) סך מוסדות דיור משותף ברשות,demographic,False,True,True,False,False,2,False,False
demographic__אחוז באוכלוסייה בסוף השנה בני 14-10,demographic,True,True,True,True,True,5,True,True
demographic__אחוז באוכלוסייה בסוף השנה בני 17-0,demographic,True,True,True,True,True,5,True,True
demographic__אחוז באוכלוסייה בסוף השנה בני 19-15,demographic,True,True,True,True,True,5,True,True
demographic__אחוז באוכלוסייה בסוף השנה בני 29-20,demographic,True,True,True,True,True,5,True,True
demographic__אחוז באוכלוסייה בסוף השנה בני 4-0,demographic,True,True,True,True,True,5,True,True
demographic__אחוז באוכלוסייה בסוף השנה בני 44-30,demographic,True,True,True,True,True,5,True,True
demographic__אחוז באוכלוסייה בסוף השנה בני 59-45,demographic,True,True,True,True,True,5,True,True
demographic__אחוז באוכלוסייה בסוף השנה בני 64-60,demographic,True,True,True,True,True,5,True,True
demographic__אחוז באוכלוסייה בסוף השנה בני 65 ומעלה,demographic,True,True,True,True,True,5,True,True
demographic__אחוז באוכלוסייה בסוף השנה בני 75 ומעלה,demographic,True,True,True,True,True,5,True,True
demographic__אחוז באוכלוסייה בסוף השנה בני 9-5,demographic,True,True,True,True,True,5,True,True
demographic__אחוז גידול האוכלוסייה לעומת השנה הקודמת,demographic,True,True,True,True,True,5,True,True
demographic__אחוז עולי 1990+ מסך האוכלוסייה,demographic,True,True,True,True,True,5,True,True
demographic__אחוז עולים בהשתקעות ראשונה בני 17-0,demographic,True,True,True,True,True,5,True,True
demographic__אחוז עולים בהשתקעות ראשונה בני 44-18,demographic,True,True,True,True,True,5,True,True
demographic__אחוז עולים בהשתקעות ראשונה בני 64-45,demographic,True,True,True,True,True,5,True,True
demographic__אחוז עולים בהשתקעות ראשונה בני 65 ומעלה,demographic,True,True,True,True,True,5,True,True
demographic__דרוזים (אחוזים מתוך האוכלוסייה הערבית,demographic,True,True,True,True,True,5,True,True
demographic__הגירה בתוך הרשות המקומית,demographic,True,True,True,True,True,5,True,True
demographic__השתקעות ראשונה של עולים,demographic,True,True,True,True,True,5,True,True
"demographic__יהודים 
(אחוזים מתוך יהודים ואחרים",demographic,True,True,True,True,True,5,True,True
demographic__יהודים ואחרים (אחוזים,demographic,False,False,True,True,False,2,False,False
demographic__יהודים ואחרים (אחוזים מתוך כלל אוכלוסיית הישראלים,demographic,True,True,False,False,True,3,False,False
demographic__יוצאים ליישובים אחרים גברים,demographic,True,True,True,True,True,5,True,True
demographic__יוצאים ליישובים אחרים גיל 29-15,demographic,True,True,True,True,True,5,True,True
demographic__יוצאים ליישובים אחרים גיל 64-30,demographic,True,True,True,True,True,5,True,True
demographic__יוצאים ליישובים אחרים גיל 65 ומעלה,demographic,True,True,True,True,True,5,True,True
demographic__יוצאים ליישובים אחרים נשים,demographic,True,True,True,True,True,5,True,True
"demographic__יוצאים ליישובים אחרים סה""כ",demographic,True,True,True,True,True,5,True,True
demographic__יוצאים ליישובים אחרים עד גיל 14,demographic,True,True,True,True,True,5,True,True
"demographic__יחס תלות (ל-1,000 תושבים בלתי תלויים",demographic,True,True,True,True,True,5,True,True
demographic__לידות חי,demographic,True,True,True,True,True,5,True,True
"demographic__מאזן הגירה ביישוב
סה""כ",demographic,True,True,True,True,True,5,True,True
demographic__מאזן הגירה פנימית,demographic,True,True,True,True,True,5,True,True
demographic__מוסלמים (אחוזים מתוך האוכלוסייה הערבית,demographic,True,True,True,True,True,5,True,True
"demographic__מתגרשים סה""כ גברים ונשים",demographic,True,True,True,True,True,5,True,True
"demographic__מתגרשים שיעור ל-1,000 תושבים נשואים בני 15 ומעלה",demographic,True,True,True,True,True,5,True,True
demographic__נוצרים (אחוזים מתוך האוכלוסייה הערבית,demographic,True,True,True,True,True,5,True,True
"demographic__נישאים סה""כ גברים ונשים",demographic,True,True,True,True,True,5,True,True
"demographic__נישאים שיעור ל-1,000 תושבים לא נשואים בני 15 ומעלה",demographic,True,True,True,True,True,5,True,True
demographic__נכנסים מיישובים אחרים גברים,demographic,True,True,True,True,True,5,True,True
