source,year,raw_column,canonical_column,numeric_non_missing,kept,reason
demographic,2019,"צפיפות אוכלוסייה לקמ''ר ביישובים שמנו 5,000 תושבים ויותר","demographic__צפיפות אוכלוסייה לקמ''ר ביישובים שמנו 5,000 תושבים ויותר",174,True,numeric_feature
demographic,2019,"סה""כ  אוכלוסייה בסוף השנה","demographic__סה""כ  אוכלוסייה בסוף השנה",193,True,numeric_feature
demographic,2019,סך כל הישראלים,demographic__סך כל הישראלים,193,True,numeric_feature
demographic,2019,יהודים ואחרים (אחוזים מתוך כלל אוכלוסיית הישראלים),demographic__יהודים ואחרים (אחוזים מתוך כלל אוכלוסיית הישראלים,170,True,numeric_feature
demographic,2019,"יהודים 
(אחוזים מתוך יהודים ואחרים)","demographic__יהודים 
(אחוזים מתוך יהודים ואחרים",179,True,numeric_feature
demographic,2019,ערבים (אחוזים מתוך כלל אוכלוסיית הישראלים),demographic__ערבים (אחוזים מתוך כלל אוכלוסיית הישראלים,177,True,numeric_feature
demographic,2019,מוסלמים (אחוזים מתוך האוכלוסייה הערבית),demographic__מוסלמים (אחוזים מתוך האוכלוסייה הערבית,178,True,numeric_feature
demographic,2019,נוצרים (אחוזים מתוך האוכלוסייה הערבית),demographic__נוצרים (אחוזים מתוך האוכלוסייה הערבית,123,True,numeric_feature
demographic,2019,דרוזים (אחוזים מתוך האוכלוסייה הערבית),demographic__דרוזים (אחוזים מתוך האוכלוסייה הערבית,90,True,numeric_feature
demographic,2019,"סה""כ גברים בסוף השנה","demographic__סה""כ גברים בסוף השנה",193,True,numeric_feature
demographic,2019,"סה""כ נשים בסוף השנה","demographic__סה""כ נשים בסוף השנה",193,True,numeric_feature
demographic,2019,אחוז באוכלוסייה בסוף השנה בני 4-0,demographic__אחוז באוכלוסייה בסוף השנה בני 4-0,193,True,numeric_feature
demographic,2019,אחוז באוכלוסייה בסוף השנה בני 9-5,demographic__אחוז באוכלוסייה בסוף השנה בני 9-5,193,True,numeric_feature
demographic,2019,אחוז באוכלוסייה בסוף השנה בני 14-10,demographic__אחוז באוכלוסייה בסוף השנה בני 14-10,193,True,numeric_feature
demographic,2019,אחוז באוכלוסייה בסוף השנה בני 19-15,demographic__אחוז באוכלוסייה בסוף השנה בני 19-15,193,True,numeric_feature
demographic,2019,אחוז באוכלוסייה בסוף השנה בני 29-20,demographic__אחוז באוכלוסייה בסוף השנה בני 29-20,193,True,numeric_feature
demographic,2019,אחוז באוכלוסייה בסוף השנה בני 44-30,demographic__אחוז באוכלוסייה בסוף השנה בני 44-30,193,True,numeric_feature
demographic,2019,אחוז באוכלוסייה בסוף השנה בני 59-45,demographic__אחוז באוכלוסייה בסוף השנה בני 59-45,193,True,numeric_feature
demographic,2019,אחוז באוכלוסייה בסוף השנה בני 64-60,demographic__אחוז באוכלוסייה בסוף השנה בני 64-60,193,True,numeric_feature
demographic,2019,אחוז באוכלוסייה בסוף השנה בני 65 ומעלה,demographic__אחוז באוכלוסייה בסוף השנה בני 65 ומעלה,193,True,numeric_feature
demographic,2019,אחוז באוכלוסייה בסוף השנה בני 17-0,demographic__אחוז באוכלוסייה בסוף השנה בני 17-0,193,True,numeric_feature
demographic,2019,אחוז באוכלוסייה בסוף השנה בני 75 ומעלה,demographic__אחוז באוכלוסייה בסוף השנה בני 75 ומעלה,193,True,numeric_feature
demographic,2019,"יחס תלות (ל-1,000 תושבים בלתי תלויים)","demographic__יחס תלות (ל-1,000 תושבים בלתי תלויים",193,True,numeric_feature
demographic,2019,לידות חי,demographic__לידות חי,193,True,numeric_feature
demographic,2019,שיעור פריון כולל,demographic__שיעור פריון כולל,141,True,numeric_feature
demographic,2019,פטירות תינוקות (ממוצע),demographic__פטירות תינוקות (ממוצע,164,True,numeric_feature
demographic,2019,"שיעור פטירות תינוקות ל-1,000 לידות חי","demographic__שיעור פטירות תינוקות ל-1,000 לידות חי",24,True,numeric_feature
demographic,2019,פטירות,demographic__פטירות,193,True,numeric_feature
demographic,2019,"שיעור פטירות מתוקנן ל-1,000 תושבים","demographic__שיעור פטירות מתוקנן ל-1,000 תושבים",180,True,numeric_feature
demographic,2019,"ריבוי טבעי
סה""כ","demographic__ריבוי טבעי
סה""כ",193,True,numeric_feature
demographic,2019,"ריבוי טבעי  ל-1,000 תושבים","demographic__ריבוי טבעי  ל-1,000 תושבים",193,True,numeric_feature
demographic,2019,אחוז גידול האוכלוסייה לעומת השנה הקודמת,demographic__אחוז גידול האוכלוסייה לעומת השנה הקודמת,193,True,numeric_feature
demographic,2019,אחוז עולי 1990+ מסך האוכלוסייה,demographic__אחוז עולי 1990+ מסך האוכלוסייה,193,True,numeric_feature
demographic,2019,השתקעות ראשונה של עולים,demographic__השתקעות ראשונה של עולים,109,True,numeric_feature
demographic,2019,אחוז עולים בהשתקעות ראשונה בני 17-0,demographic__אחוז עולים בהשתקעות ראשונה בני 17-0,112,True,numeric_feature
demographic,2019,אחוז עולים בהשתקעות ראשונה בני 44-18,demographic__אחוז עולים בהשתקעות ראשונה בני 44-18,123,True,numeric_feature
demographic,2019,אחוז עולים בהשתקעות ראשונה בני 64-45,demographic__אחוז עולים בהשתקעות ראשונה בני 64-45,124,True,numeric_feature
demographic,2019,אחוז עולים בהשתקעות ראשונה בני 65 ומעלה,demographic__אחוז עולים בהשתקעות ראשונה בני 65 ומעלה,124,True,numeric_feature
demographic,2019,"מאזן הגירה ביישוב
סה""כ","demographic__מאזן הגירה ביישוב
סה""כ",193,True,numeric_feature
demographic,2019,מאזן הגירה פנימית,demographic__מאזן הגירה פנימית,188,True,numeric_feature
demographic,2019,"נכנסים מיישובים אחרים סה""כ","demographic__נכנסים מיישובים אחרים סה""כ",188,True,numeric_feature
demographic,2019,נכנסים מיישובים אחרים גברים,demographic__נכנסים מיישובים אחרים גברים,186,True,numeric_feature
demographic,2019,נכנסים מיישובים אחרים נשים,demographic__נכנסים מיישובים אחרים נשים,188,True,numeric_feature
demographic,2019,נכנסים מיישובים אחרים עד גיל 14,demographic__נכנסים מיישובים אחרים עד גיל 14,185,True,numeric_feature
demographic,2019,נכנסים מיישובים אחרים גיל 29-15,demographic__נכנסים מיישובים אחרים גיל 29-15,186,True,numeric_feature
demographic,2019,נכנסים מיישובים אחרים גיל 64-30,demographic__נכנסים מיישובים אחרים גיל 64-30,186,True,numeric_feature
demographic,2019,נכנסים מיישובים אחרים גיל 65 ומעלה,demographic__נכנסים מיישובים אחרים גיל 65 ומעלה,115,True,numeric_feature
demographic,2019,"יוצאים ליישובים אחרים סה""כ","demographic__יוצאים ליישובים אחרים סה""כ",193,True,numeric_feature
demographic,2019,יוצאים ליישובים אחרים גברים,demographic__יוצאים ליישובים אחרים גברים,188,True,numeric_feature
