model,bloc,rows,mae,median_absolute_error,r2
Previous-election persistence,Arab,224,2.4503158927109707,0.34815597797797604,0.9854154851101169
Ridge — history + levels + change,Arab,224,4.020237173639873,0.44901198783933793,0.9607835613025362
Ridge — history only,Arab,224,4.073502680736737,0.8755373866517571,0.9647787353223164
Global historical CLR swing,Arab,224,4.333820212856467,0.9329823414005746,0.9602295223095768
Extra Trees — history + levels + change,Arab,224,4.381007684723357,0.5454297770429418,0.9566693798412822
Ridge — socioeconomic only,Arab,224,4.5659101743288355,0.550730527691367,0.9523241768904596
Ridge — history + levels,Arab,224,4.847925618167532,0.7527887707362602,0.9446213295071529
Locality-type historical CLR swing,Arab,224,4.918170943494583,0.796698061089542,0.9470929440636342
Ridge — history + levels,Center_Left,224,3.16810324877369,1.561315929403504,0.9555269406474878
Ridge — history only,Center_Left,224,3.793253716660556,2.846109596739952,0.9523802273699069
Global historical CLR swing,Center_Left,224,3.8075663821880377,2.7711197131559597,0.9510313128912309
Previous-election persistence,Center_Left,224,3.949821622675264,3.0115084198505713,0.9470950339430907
Locality-type historical CLR swing,Center_Left,224,4.239738850688301,3.1036991783057974,0.9429547538492942
Extra Trees — history + levels + change,Center_Left,224,4.387083328408624,3.5500277280475423,0.9432705911141183
Ridge — history + levels + change,Center_Left,224,5.212095137805017,4.944445185909361,0.932489685385243
Ridge — socioeconomic only,Center_Left,224,5.3121433101625515,4.897841496585803,0.9280001407076615
Previous-election persistence,Haredi,224,1.2956947244299097,0.7025207529902349,0.9841822328101416
Ridge — history + levels,Haredi,224,1.499494713392395,0.6635132818767908,0.9755349519868282
Ridge — history only,Haredi,224,1.8926652835014834,1.3427114871579118,0.9741265999200501
Global historical CLR swing,Haredi,224,1.9209504905935042,1.2955074911957793,0.9717431033608612
Ridge — history + levels + change,Haredi,224,1.9945249109155267,0.8952387250422492,0.9586326489722874
Ridge — socioeconomic only,Haredi,224,2.183483876456626,0.8220157068953402,0.945003733519304
Locality-type historical CLR swing,Haredi,224,2.4378134633256416,1.642455113449314,0.9567285456180599
Extra Trees — history + levels + change,Haredi,224,2.4382576563784215,1.6545537499536382,0.955489072480373
Ridge — history + levels,Right,224,4.274922478838726,2.6234424960616334,0.9296078356465141
Previous-election persistence,Right,224,5.323553931442143,4.45321394444065,0.9202607746110141
Ridge — history only,Right,224,6.252713979899235,5.546948739879747,0.8966154372456973
Global historical CLR swing,Right,224,6.3040152232154085,5.354258992352786,0.8952249314644487
Locality-type historical CLR swing,Right,224,6.8850030033015175,6.5213177644709015,0.8835539192961513
Extra Trees — history + levels + change,Right,224,7.350673659629017,6.756597319881832,0.8679769536145725
Ridge — history + levels + change,Right,224,7.595409592619768,7.426327811275945,0.8570106077123457
Ridge — socioeconomic only,Right,224,7.941264497920512,7.7824870997173505,0.8460231082421659
