tuning_scope,feature_set,alpha,shrinkage,inner_fold_count,mean_inner_fold_mae,median_inner_fold_mae,worst_inner_fold_mae,best_inner_fold_mae,mean_active_features,minimum_active_features,maximum_active_features
outer_test=K19_to_K20,history_only,1000.0,0.25,1,6.509716375557339,6.509716375557339,6.509716375557339,6.509716375557339,9.0,9,9
outer_test=K19_to_K20,history_only,100.0,0.25,1,6.887054784217855,6.887054784217855,6.887054784217855,6.887054784217855,9.0,9,9
outer_test=K19_to_K20,history_only,10.0,0.25,1,6.926855111499343,6.926855111499343,6.926855111499343,6.926855111499343,9.0,9,9
outer_test=K19_to_K20,history_only,1000.0,0.5,1,9.048680371471196,9.048680371471196,9.048680371471196,9.048680371471196,9.0,9,9
outer_test=K19_to_K20,history_only,100.0,0.5,1,9.966004126232768,9.966004126232768,9.966004126232768,9.966004126232768,9.0,9,9
outer_test=K19_to_K20,history_only,10.0,0.5,1,10.057516080876308,10.057516080876308,10.057516080876308,10.057516080876308,9.0,9,9
outer_test=K19_to_K20,history_only,1000.0,1.0,1,14.615389746838158,14.615389746838158,14.615389746838158,14.615389746838158,9.0,9,9
outer_test=K19_to_K20,history_only,100.0,1.0,1,16.088463627299234,16.088463627299234,16.088463627299234,16.088463627299234,9.0,9,9
outer_test=K19_to_K20,history_only,10.0,1.0,1,16.19617469329826,16.19617469329826,16.19617469329826,16.19617469329826,9.0,9,9
outer_test=K19_to_K20,history_plus_dynamic_socio,1000.0,0.25,1,6.4019424020128435,6.4019424020128435,6.4019424020128435,6.4019424020128435,90.0,90,90
outer_test=K19_to_K20,history_plus_dynamic_socio,100.0,0.25,1,7.0636384776735,7.0636384776735,7.0636384776735,7.0636384776735,90.0,90,90
outer_test=K19_to_K20,history_plus_dynamic_socio,10.0,0.25,1,7.0789473103613,7.0789473103613,7.0789473103613,7.0789473103613,90.0,90,90
outer_test=K19_to_K20,history_plus_dynamic_socio,1000.0,0.5,1,9.225641945439753,9.225641945439753,9.225641945439753,9.225641945439753,90.0,90,90
outer_test=K19_to_K20,history_plus_dynamic_socio,100.0,0.5,1,10.822132073592071,10.822132073592071,10.822132073592071,10.822132073592071,90.0,90,90
outer_test=K19_to_K20,history_plus_dynamic_socio,10.0,0.5,1,10.916180704038318,10.916180704038318,10.916180704038318,10.916180704038318,90.0,90,90
outer_test=K19_to_K20,history_plus_dynamic_socio,1000.0,1.0,1,14.945950532020085,14.945950532020085,14.945950532020085,14.945950532020085,90.0,90,90
outer_test=K19_to_K20,history_plus_dynamic_socio,100.0,1.0,1,17.027739974992112,17.027739974992112,17.027739974992112,17.027739974992112,90.0,90,90
outer_test=K19_to_K20,history_plus_dynamic_socio,10.0,1.0,1,17.415044396031476,17.415044396031476,17.415044396031476,17.415044396031476,90.0,90,90
outer_test=K19_to_K20,history_plus_nonidentity_levels_and_dynamic,1000.0,0.25,1,6.380397776659786,6.380397776659786,6.380397776659786,6.380397776659786,170.0,170,170
outer_test=K19_to_K20,history_plus_nonidentity_levels_and_dynamic,100.0,0.25,1,6.94632457333639,6.94632457333639,6.94632457333639,6.94632457333639,170.0,170,170
outer_test=K19_to_K20,history_plus_nonidentity_levels_and_dynamic,10.0,0.25,1,6.963590497580529,6.963590497580529,6.963590497580529,6.963590497580529,170.0,170,170
outer_test=K19_to_K20,history_plus_nonidentity_levels_and_dynamic,1000.0,0.5,1,9.0187269328208,9.0187269328208,9.0187269328208,9.0187269328208,170.0,170,170
outer_test=K19_to_K20,history_plus_nonidentity_levels_and_dynamic,100.0,0.5,1,10.423506246683813,10.423506246683813,10.423506246683813,10.423506246683813,170.0,170,170
outer_test=K19_to_K20,history_plus_nonidentity_levels_and_dynamic,10.0,0.5,1,10.537217881251529,10.537217881251529,10.537217881251529,10.537217881251529,170.0,170,170
outer_test=K19_to_K20,history_plus_nonidentity_levels_and_dynamic,1000.0,1.0,1,14.576133278910998,14.576133278910998,14.576133278910998,14.576133278910998,170.0,170,170
outer_test=K19_to_K20,history_plus_nonidentity_levels_and_dynamic,100.0,1.0,1,16.63513970623212,16.63513970623212,16.63513970623212,16.63513970623212,170.0,170,170
outer_test=K19_to_K20,history_plus_nonidentity_levels_and_dynamic,10.0,1.0,1,16.855175744051426,16.855175744051426,16.855175744051426,16.855175744051426,170.0,170,170
outer_test=K19_to_K20,history_plus_all_socio_sensitivity,1000.0,0.25,1,6.38010465266413,6.38010465266413,6.38010465266413,6.38010465266413,172.0,172,172
outer_test=K19_to_K20,history_plus_all_socio_sensitivity,100.0,0.25,1,6.9454042088812935,6.9454042088812935,6.9454042088812935,6.9454042088812935,172.0,172,172
outer_test=K19_to_K20,history_plus_all_socio_sensitivity,10.0,0.25,1,6.961965413844947,6.961965413844947,6.961965413844947,6.961965413844947,172.0,172,172
outer_test=K19_to_K20,history_plus_all_socio_sensitivity,1000.0,0.5,1,9.018218010916877,9.018218010916877,9.018218010916877,9.018218010916877,172.0,172,172
