outer_test_transition,feature_set,feature_set_role,eligible_for_temporal_selection,requested_feature_count,active_training_feature_count,selected_alpha,selected_shrinkage,selected_inner_mean_mae,selected_inner_worst_mae,inner_fold_count
K19_to_K20,history_only,baseline_model_feature_set,True,10,10,1000.0,0.25,6.509716375557339,6.509716375557339,1
K19_to_K20,history_plus_dynamic_socio,primary_challenger,True,98,91,1000.0,0.25,6.4019424020128435,6.4019424020128435,1
K19_to_K20,history_plus_nonidentity_levels_and_dynamic,secondary_challenger,True,410,171,1000.0,0.25,6.380397776659786,6.380397776659786,1
K19_to_K20,history_plus_all_socio_sensitivity,identity_sensitivity,False,420,173,1000.0,0.25,6.38010465266413,6.38010465266413,1
K19_to_K20,history_plus_locality_identity_diagnostic,diagnostic_only,False,482,235,1000.0,0.25,6.178894654135263,6.178894654135263,1
K20_to_K21,history_only,baseline_model_feature_set,True,10,10,1000.0,0.25,7.372942854324877,8.236169333092414,2
K20_to_K21,history_plus_dynamic_socio,primary_challenger,True,98,94,1000.0,0.25,7.188471474787123,7.975000547561403,2
K20_to_K21,history_plus_nonidentity_levels_and_dynamic,secondary_challenger,True,410,174,1000.0,0.25,7.146854948897144,7.913312121134503,2
K20_to_K21,history_plus_all_socio_sensitivity,identity_sensitivity,False,420,176,1000.0,0.25,7.146925875762848,7.913747098861567,2
K20_to_K21,history_plus_locality_identity_diagnostic,diagnostic_only,False,482,238,1000.0,0.25,6.869948433793352,7.561002213451441,2
K21_to_K22,history_only,baseline_model_feature_set,True,10,10,1000.0,0.25,5.9247348006476335,8.236169333092414,3
K21_to_K22,history_plus_dynamic_socio,primary_challenger,True,98,94,1000.0,0.25,5.83537239512339,7.975000547561403,3
K21_to_K22,history_plus_nonidentity_levels_and_dynamic,secondary_challenger,True,410,228,1000.0,0.25,5.816479522225694,7.913312121134503,3
K21_to_K22,history_plus_all_socio_sensitivity,identity_sensitivity,False,420,230,1000.0,0.25,5.817363583037138,7.913747098861567,3
K21_to_K22,history_plus_locality_identity_diagnostic,diagnostic_only,False,482,292,1000.0,0.25,5.697664775345757,7.561002213451441,3
K22_to_K23,history_only,baseline_model_feature_set,True,10,10,1000.0,0.25,5.554151738104316,8.236169333092414,4
K22_to_K23,history_plus_dynamic_socio,primary_challenger,True,98,95,1000.0,0.25,5.561452640481394,7.975000547561403,4
K22_to_K23,history_plus_nonidentity_levels_and_dynamic,secondary_challenger,True,410,229,1000.0,0.25,5.549185130737,7.913312121134503,4
K22_to_K23,history_plus_all_socio_sensitivity,identity_sensitivity,False,420,231,1000.0,0.25,5.549509973828525,7.913747098861567,4
K22_to_K23,history_plus_locality_identity_diagnostic,diagnostic_only,False,482,293,1000.0,0.25,5.356401515352445,7.561002213451441,4
K23_to_K24,history_only,baseline_model_feature_set,True,10,10,1000.0,0.25,5.131816869335523,8.236169333092414,5
K23_to_K24,history_plus_dynamic_socio,primary_challenger,True,98,97,1000.0,0.25,5.132749353477795,7.975000547561403,5
K23_to_K24,history_plus_nonidentity_levels_and_dynamic,secondary_challenger,True,410,409,1000.0,0.25,5.114184361382704,7.913312121134503,5
K23_to_K24,history_plus_all_socio_sensitivity,identity_sensitivity,False,420,419,1000.0,0.25,5.114562701309921,7.913747098861567,5
K23_to_K24,history_plus_locality_identity_diagnostic,diagnostic_only,False,482,481,1000.0,0.25,4.88614871664723,7.561002213451441,5
FULL_DEVELOPMENT_BUNDLE,history_only,baseline_model_feature_set,True,10,10,1000.0,0.25,4.804630946545267,8.236169333092414,6
