feature,training_missing_pct,feature_role,source
"current_feature__welfare__אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים כללית",81.53338829348722,current_feature,welfare
"current_feature__welfare__אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים לאומית",81.53338829348722,current_feature,welfare
"current_feature__welfare__אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים מאוחדת",81.53338829348722,current_feature,welfare
"current_feature__welfare__אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים מכבי",81.53338829348722,current_feature,welfare
"current_feature__welfare__אחוז מקבלי דמי אבטלה מבני 67-20
(שנתי",81.53338829348722,current_feature,welfare
current_feature__welfare__אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זקנה ושאירים (סוף שנה,81.53338829348722,current_feature,welfare
"current_feature__welfare__גיל ממוצע של מקבלי דמי אבטלה
(לא כולל חיילים",81.53338829348722,current_feature,welfare
"current_feature__welfare__דמי אבטלה ממוצעים ליום
(ש""ח",81.53338829348722,current_feature,welfare
"current_feature__welfare__ימי זכאות לדמי אבטלה
(ממוצע שנתי",81.53338829348722,current_feature,welfare
current_feature__welfare__מספר ילדים שבגינם שולמו קצבאות במשפחות עם 2-1 ילדים,81.53338829348722,current_feature,welfare
current_feature__welfare__מספר ילדים שבגינם שולמו קצבאות במשפחות עם 4-3 ילדים,81.53338829348722,current_feature,welfare
current_feature__welfare__מספר ילדים שבגינם שולמו קצבאות במשפחות עם 5 ילדים ויותר,81.53338829348722,current_feature,welfare
"current_feature__welfare__מספר ילדים שבגינם שולמו קצבאות סה""כ",81.53338829348722,current_feature,welfare
"current_feature__welfare__מספר מקבלי דמי אבטלה 
(סה""כ שנתי",81.53338829348722,current_feature,welfare
"current_feature__welfare__מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) סה""כ",81.53338829348722,current_feature,welfare
current_feature__welfare__מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 2-1 ילדים במשפחה,81.53338829348722,current_feature,welfare
current_feature__welfare__מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 4-3 ילדים במשפחה,81.53338829348722,current_feature,welfare
current_feature__welfare__מקבלי גמלאות ניידות (סוף שנה,81.53338829348722,current_feature,welfare
current_feature__welfare__מקבלי גמלאות נכות כללית (סוף שנה,81.53338829348722,current_feature,welfare
"current_feature__welfare__מקבלי קצבאות זקנה ושאירים סה""כ (סוף שנה",81.53338829348722,current_feature,welfare
"current_feature__welfare__ניצול ימי אבטלה בשנה 
(חציון שנתי",81.53338829348722,current_feature,welfare
"current_feature__welfare__ניצול ימי אבטלה בשנה 
(ממוצע שנתי",81.53338829348722,current_feature,welfare
"delta_feature__welfare__אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים כללית",81.53338829348722,delta_feature,welfare
"delta_feature__welfare__אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים לאומית",81.53338829348722,delta_feature,welfare
"delta_feature__welfare__אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים מאוחדת",81.53338829348722,delta_feature,welfare
"delta_feature__welfare__אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים מכבי",81.53338829348722,delta_feature,welfare
"delta_feature__welfare__אחוז מקבלי דמי אבטלה מבני 67-20
(שנתי",81.53338829348722,delta_feature,welfare
delta_feature__welfare__אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זקנה ושאירים (סוף שנה,81.53338829348722,delta_feature,welfare
"delta_feature__welfare__גיל ממוצע של מקבלי דמי אבטלה
(לא כולל חיילים",81.53338829348722,delta_feature,welfare
"delta_feature__welfare__דמי אבטלה ממוצעים ליום
(ש""ח",81.53338829348722,delta_feature,welfare
"delta_feature__welfare__ימי זכאות לדמי אבטלה
(ממוצע שנתי",81.53338829348722,delta_feature,welfare
