scope,lambda,rows,mae,weighted_mae,median_row_mae
All localities,0.0,449,3.2913361777059293,2.7271549146708596,2.492213461461629
Non-Arab,0.0,287,2.448990757437411,2.565058858656764,2.236511518707232
All localities,0.05,449,3.1545299471320227,2.5970456461852756,2.3797960165417873
Non-Arab,0.05,287,2.3508573632226812,2.443010852689456,2.1305111586132575
All localities,0.1,449,3.0204277070898122,2.469301227142927,2.2898361893841424
Non-Arab,0.1,287,2.2546703672020634,2.323046073678337,2.0491774197532724
All localities,0.15,449,2.8919519942992107,2.355943485345341,2.1513541174313326
Non-Arab,0.15,287,2.16060825984181,2.2176170635282726,1.9787125964613694
All localities,0.2,449,2.767662051435279,2.2457024422468956,2.0350749516183773
Non-Arab,0.2,287,2.06784970515636,2.114743487641326,1.8752024004537189
All localities,0.25,449,2.648506257184028,2.1381830015713708,1.9811437711286366
Non-Arab,0.25,287,1.9779136393776207,2.013934377783658,1.777562777153613
All localities,0.3,449,2.5358978840209514,2.0369736026453427,1.8768552075378055
Non-Arab,0.3,287,1.8920314085286358,1.9185223790601489,1.679019331727654
All localities,0.35,449,2.4294549097899107,1.9450696628027782,1.713818097380593
Non-Arab,0.35,287,1.808425456805348,1.8316677563909811,1.5935879217232163
All localities,0.4,449,2.3283921045672447,1.863404632265401,1.6941278684803187
Non-Arab,0.4,287,1.728831895669994,1.75537851770932,1.4942054118154904
All localities,0.45,449,2.2377357954159796,1.7908329951465396,1.6046604726983613
Non-Arab,0.45,287,1.657744093101161,1.6883828324152155,1.431196495261749
All localities,0.5,449,2.1546947943205406,1.7236455259186096,1.5169482529747809
Non-Arab,0.5,287,1.592621340302126,1.626731760327643,1.3599721439803643
All localities,0.55,449,2.0814551416133638,1.6635696626145609,1.4238870489269149
Non-Arab,0.55,287,1.5340784533833616,1.5718719058891892,1.3055353599910373
All localities,0.6,449,2.0189032873389614,1.6121979005051856,1.3712948263677296
Non-Arab,0.6,287,1.4829073642076571,1.5246342902362016,1.2428907860976643
All localities,0.65,449,1.9665745063136773,1.5731309467632502,1.3314187084863731
Non-Arab,0.65,287,1.4409349714336792,1.4892959328648587,1.20267673468265
All localities,0.7,449,1.9215190635385635,1.5405377922090473,1.271677492423751
Non-Arab,0.7,287,1.4039479788881992,1.4603256811944205,1.1874239192106022
All localities,0.75,449,1.8872683572867421,1.5139597136055105,1.2176002996428679
Non-Arab,0.75,287,1.3754347410103662,1.4368421542141916,1.1242133017558302
All localities,0.8,449,1.8603640352897162,1.4944019207236119,1.1726475666434064
Non-Arab,0.8,287,1.3535333432255432,1.4201375378588856,1.0702989048234957
All localities,0.85,449,1.8426148472780968,1.4819405855035146,1.150649474822501
Non-Arab,0.85,287,1.3388383607980017,1.4099409513956824,1.0441262829644775
All localities,0.9,449,1.8392497928502622,1.4858626706604714,1.1704204974893422
Non-Arab,0.9,287,1.3359221135635844,1.4163970883042862,1.0192935259423288
All localities,0.95,449,1.8452244514021032,1.4983338608342207,1.1572927396439052
Non-Arab,0.95,287,1.3429011351081521,1.4317936605019,0.9905393546490475
All localities,1.0,449,1.8607400464210304,1.5169786322743666,1.1455890935163227
Non-Arab,1.0,287,1.3591519323031385,1.4532348574718605,1.0307601091745142
