,Training_Missing_Rate,Training_Missing_Count,Validation_Missing_Rate,Validation_Missing_Count,Removed_From_Feature_Selection
"מקבלי הכשרה מקצועית סה""כ",0.9629080118694362,649,0.9464285714285714,212,True
אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות חינוך,0.9154302670623146,617,0.7455357142857143,167,True
אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות דת,0.9080118694362018,612,0.7232142857142857,162,True
אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים בבתי אבות ובדיור מוגן,0.9065281899109793,611,0.71875,161,True
אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות אחרים,0.900593471810089,607,0.7008928571428571,157,True
"שיעור פטירות תינוקות ל-1,000 לידות חי",0.8946587537091988,603,0.8928571428571429,200,True
אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות אשפוז כולל הוסטלים,0.8946587537091988,603,0.6830357142857143,153,True
אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) סך מוסדות דיור משותף ברשות,0.8545994065281899,576,0.5625,126,True
אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) סך דיירי דיור משותף ברשות,0.8545994065281899,576,0.5625,126,True
דרוזים (אחוזים מתוך האוכלוסייה הערבית),0.6928783382789317,467,0.8705357142857143,195,True
נוצרים (אחוזים מתוך האוכלוסייה הערבית),0.45252225519287836,305,0.45089285714285715,101,True
סך כל הישראלים,0.43026706231454004,290,1.0,224,True
נכנסים מיישובים אחרים גיל 65 ומעלה,0.4258160237388724,287,0.09821428571428571,22,True
יוצאים ליישובים אחרים גיל 65 ומעלה,0.41839762611275966,282,0.09821428571428571,22,True
אחוז עולים בהשתקעות ראשונה בני 17-0,0.4065281899109792,274,0.21428571428571427,48,True
השתקעות ראשונה של עולים,0.4035608308605341,272,0.125,28,True
אחוז עולים בהשתקעות ראשונה בני 44-18,0.37388724035608306,252,0.21428571428571427,48,True
אחוז תלמידים נושרים בנות,0.37091988130563797,250,0.41517857142857145,93,True
אחוז עולים בהשתקעות ראשונה בני 65 ומעלה,0.37091988130563797,250,0.21428571428571427,48,True
אחוז עולים בהשתקעות ראשונה בני 64-45,0.37091988130563797,250,0.21428571428571427,48,True
אחוז תלמידים נושרים בנים,0.3545994065281899,239,0.4107142857142857,92,True
השכלה גבוהה אחוז הנכנסים להשכלה גבוהה בתוך 8 שנים בקרב תלמידי יב,0.29376854599406527,198,0.2857142857142857,64,False
הגירה בתוך הרשות המקומית,0.2596439169139466,175,0.09821428571428571,22,False
פטירות תינוקות (ממוצע),0.24777448071216618,167,0.19196428571428573,43,False
יהודים ואחרים (אחוזים מתוך כלל אוכלוסיית הישראלים),0.23293768545994065,157,0.20089285714285715,45,False
"צפיפות אוכלוסייה לקמ''ר ביישובים שמנו 5,000 תושבים ויותר",0.22551928783382788,152,0.20982142857142858,47,False
בתי ספר חטיבות ביניים,0.2195845697329377,148,0.21428571428571427,48,False
כיתות בחטיבות ביניים,0.2195845697329377,148,0.21428571428571427,48,False
תלמידים בחטיבות ביניים,0.2195845697329377,148,0.21428571428571427,48,False
ערבים (אחוזים מתוך כלל אוכלוסיית הישראלים),0.21216617210682492,143,0.20982142857142858,47,False
בתי ספר תיכוניים,0.21068249258160238,142,0.20535714285714285,46,False
כיתות בבתי ספר תיכוניים,0.21068249258160238,142,0.20535714285714285,46,False
תלמידים בבתי ספר תיכוניים,0.21068249258160238,142,0.20535714285714285,46,False
מוסלמים (אחוזים מתוך האוכלוסייה הערבית),0.20919881305637983,141,0.20089285714285715,45,False
"אחוז תלמידים נושרים סה""כ",0.19584569732937684,132,0.18303571428571427,41,False
יהודים (אחוזים מתוך יהודים ואחרים),0.19287833827893175,130,0.16071428571428573,36,False
עובדי הוראה אחוז עובדי הוראה חדשים,0.17804154302670624,120,0.10267857142857142,23,False
עובדי הוראה ממוצע שעות עבודה שבועיות לתלמיד,0.17359050445103857,117,0.10267857142857142,23,False
עובדי הוראה ממוצע תלמידים למורה,0.17359050445103857,117,0.10267857142857142,23,False
עובדי הוראה אחוז עובדי הוראה משתלמים מכלל עובדי הוראה,0.17210682492581603,116,0.10267857142857142,23,False
עובדי הוראה אחוז בעלי דרגת שכר תואר שני ומעלה,0.17210682492581603,116,0.10267857142857142,23,False
עובדי הוראה אחוז שעות היעדרות מסך שעות עבודה שנתיות,0.17210682492581603,116,0.10267857142857142,23,False
עובדי הוראה ממוצע שעות עבודה לשבוע,0.17210682492581603,116,0.10267857142857142,23,False
עובדי הוראה ממוצע שנות ותק מוכרות בהוראה,0.17210682492581603,116,0.10267857142857142,23,False
עובדי הוראה מספר עובדי הוראה,0.17210682492581603,116,0.10267857142857142,23,False
