Sector,Scope,Rows,MAE,R2
Arab/Non-Jewish localities,Overall,81,5.533312575893989,0.5414066934017315
Arab/Non-Jewish localities,Right_pct,81,6.981095090031172,0.027849099822710555
Arab/Non-Jewish localities,Center_Left_pct,81,6.973743995051489,0.8691622371712038
Arab/Non-Jewish localities,Haredi_pct,81,0.8184697169935768,0.354052428408805
Arab/Non-Jewish localities,Arab_pct,81,7.359941501499719,0.9145630082042068
Non-Arab localities,Overall,145,3.466138049981461,0.8736434867269477
Non-Arab localities,Right_pct,145,5.423044066130103,0.8280021244628358
Non-Arab localities,Center_Left_pct,145,4.998783257434973,0.8666290405979904
Non-Arab localities,Haredi_pct,145,2.9133609900826665,0.9301011346951987
Non-Arab localities,Arab_pct,145,0.5293638862781038,0.8698416471517659
